country,rank,lumpiness,entropy,ACF1,lshift,vchange,cpoints,fspots,trend,linearity,curvature,spikiness,KLscore,change.idx
Aruba,48,0.00843921,0.61096899,0.932956659,1.129303814,0.156079045,1,20,0.999952485,7.168867765,-2.174102524,8.46E-13,7.291697893,24
Afghanistan,169,0.000196944,0.522522923,0.954214223,0.816184445,0.041869362,1,8,0.999999162,7.603426403,-0.214874159,4.07E-16,2.607517972,24
Angola,31,0.003453677,0.624508938,0.934613172,1.180958678,0.297887874,1,19,0.99997,7.128644571,1.852653337,6.23E-13,1.837680666,24
Albania,163,0.002799652,0.614944385,0.93127905,0.805638311,0.071028372,1,13,0.998049898,7.538905354,-0.389806479,2.03E-09,3.533701407,24
Arab World,200,0.000792206,0.519521357,0.952600333,0.936648273,0.063806783,1,13,0.99996644,7.482080583,-1.368182536,4.85E-13,4.048540431,24
United Arab Emirates,117,0.009275424,0.583490849,0.936358645,0.988921967,0.124895011,1,14,0.999997861,7.227190607,-2.29350643,5.78E-15,5.285468572,24
Argentina,215,0.00077479,0.522131562,0.955772839,0.89667795,0.070749572,1,9,0.999966841,7.579346657,-0.584241917,4.25E-13,2.682568307,24
Armenia,17,0.035404424,0.646041063,0.923523083,1.605088672,0.433847595,3,12,0.998943954,5.937535594,1.713082792,5.33E-10,0.243158625,35
Antigua and Barbuda,228,0.000687315,0.539787167,0.947362509,0.815009155,0.048163864,1,11,0.999992336,7.565861337,-0.805355225,8.16E-14,3.561755902,24
Australia,137,0.001381937,0.479086026,0.962459697,0.870465533,0.086999703,1,14,0.999667312,7.564135454,0.014957935,1.23E-10,1.691364936,24
Austria,145,0.000438598,0.494938344,0.955866585,0.812505344,0.049086536,1,9,0.998069382,7.575651531,0.257407101,2.32E-09,2.279837118,24
Azerbaijan,51,0.005418284,0.591450872,0.942065531,1.193678056,0.191987383,1,14,0.999457353,7.265037977,1.810687743,1.25E-10,1.021897636,24
Burundi,37,0.012260271,0.597500596,0.939466025,1.312570731,0.265004222,1,10,0.999510942,7.09196018,1.975110832,5.23E-11,0.833173076,24
Belgium,131,0.000399425,0.517417787,0.952172458,0.81401035,0.053437531,1,7,0.99804216,7.587776992,0.209811192,1.84E-09,2.382282158,24
Benin,180,0.00056298,0.534567812,0.951516487,0.93582104,0.106635038,1,13,0.999991827,7.522998989,-0.994803441,2.01E-14,3.449312605,24
Burkina Faso,50,0.004054833,0.594530241,0.942928869,1.060240127,0.158243446,1,18,0.999866731,7.466976329,-0.344481357,4.45E-12,3.643252094,24
Bangladesh,80,0.001347326,0.468885797,0.960641662,0.881734982,0.075988635,1,9,0.999593135,7.521123225,0.401977408,6.84E-11,1.703670029,24
Bulgaria,18,0.02327418,0.693476639,0.876984277,1.292585222,0.333825898,1,6,0.955728094,6.394508864,2.543981865,1.49E-06,0.561230638,24
Bahrain,52,0.029607272,0.612970825,0.92409526,0.941088653,0.147859625,1,18,0.999995205,7.050466104,-2.654104518,2.30E-14,6.66848407,24
"Bahamas, The",101,0.004581618,0.488937406,0.955711184,1.084358741,0.154455215,1,14,0.999877189,7.478747485,-0.693998163,5.47E-12,2.438967719,24
Bosnia and Herzegovina,118,0.007162393,0.606388497,0.934744316,0.926474349,0.15789476,1,15,0.99880268,7.344664093,-1.369370887,5.50E-10,3.444406028,24
Belarus,4,0.04602636,0.705649744,0.875795726,1.30185133,0.665807878,3,19,0.959729696,3.354681473,2.494068272,9.51E-07,0.635888911,24
Belize,71,0.018068899,0.668272081,0.919495972,1.215819217,0.153733026,1,12,0.999214764,6.544609281,-2.055954758,3.06E-10,6.529982804,24
Bolivia,149,0.000235531,0.514866678,0.9561206,0.792728726,0.042034788,1,9,0.999995768,7.599990758,0.292565835,1.30E-14,1.938033738,24
