year,Aruba,Afghanistan,Angola,Albania,Arab World,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,Somalia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Syrian Arab Republic,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1970,69.14,37.409,40.914,66.935,52.26421043,61.215,66.483,70.144,65.847,71.01853659,69.91463415,63.141,43.841,70.97195122,42.152,39.095,46.942,71.25634146,63.449,65.87,66.187,70.0792439,65.566,45.568,58.911,68.65,62.582,39.635,53.824,42.223,72.7004878,69.44695506,73.0202439,71.823,62.254,59.085,44.123,46.523,43.915,50.725,62.152,45.642,53.298,65.844,65.64881148,69.809,72.576,69.4402439,70.63978049,49.16,73.34341463,58.093,50.372,58.19554176,50.74937105,59.73985058,65.73597003,68.96923607,58.203,52.146,71.15815158,43.156,72.02731707,69.93709756,42.944,70.85825949,45.58908274,70.1795122,62.492,71.65853659,58.851,47.125,71.97317073,67.452,49.34,36.655,37.868,40.649,39.848,70.90363415,65.619,52.501,65.662,61.789,70.48630594,71.3865122,52.522,43.85300928,68.2004878,46.027,69.16463415,56.97620188,55.13714407,46.22970383,48.94363342,52.553,44.96494285,47.737,71.03143902,50.855,58.201,73.93390244,71.21341463,71.55878049,67.917,60.171,71.9502439,62.27939024,52.557,60.24490244,41.566,52.323,62.16341463,65.715,60.10980007,46.273,66.067,39.338,56.052,63.667,60.43544792,44.05901083,44.33379157,64.097,50.17031064,54.87036871,50.584,60.76992112,70.80439024,69.98346341,69.83536585,69.36,52.572,65.045,44.771,44.142,52.73254316,61.362,55.6059922,66.301,32.388,71.30529268,48.796,52.14921087,69.929,55.364,41.343,50.404,63.11804878,39.756,64.595,70.9854796,52.669,63.02926829,35.883,40.971,53.519,73.58560976,74.08804878,40.881,71.27317073,69.34389509,50.31,55.25802428,52.649,65.532,54.174,63.155,45.916,69.86829268,43.5468981,71.53553659,59.656,67.07317073,65.368,60.07011829,70.83501713,60.183,68.156,68.05641463,68.13365854,44.696,48.07016818,52.703,52.234,39.227,68.27941463,56.203,36.098,54.998,40.957,44.45491377,35.807,44.50798504,58.52198473,55.358,62.911,70.1342439,68.6097561,74.64926829,48.128,58.814,41.344,58.17645606,66.29847971,46.568,59.385,54.007,58.472,60.01228258,39.529,52.14921087,64,48.07016818,44.50798504,64.7,51.145,52.286,46.784,49.251,70.23521951,59.54463787,68.616,70.80731707,62.392,63.691,64.935,69.05119512,59.563,54.451,58.58318621,59.919,36.82,52.62,50.114,56.913
1971,69.498,37.93,41.282,67.237,52.8229318,62.099,66.774,70.412,66.066,71.06829268,70.11463415,63.31,44.021,71.0604878,42.684,39.542,46.589,70.87365854,64.275,66.031,66.756,70.093,66.047,45.999,59.332,68.89,63.134,40.194,54.327,43.036,73.02926829,69.48516575,73.13073171,71.919,62.895,60.303,44.979,47.053,44.247,51.126,62.629,46.103,53.97,66.378,65.88038862,70.306,72.825,69.67707317,70.74287805,49.827,73.41463415,58.671,50.773,59.16426008,51.26822362,60.65657691,65.92163003,69.10567822,58.718,52.479,71.26596774,43.545,71.6302439,69.90534146,43.213,70.9388989,46.07812926,70.01756098,62.512,71.90731707,59.265,47.967,72.27317073,67.766,49.625,36.932,38.734,40.961,40.156,71.22656098,65.88,53.091,66.074,61.868,70.77334387,71.45853659,53.14,44.25842592,68.50163415,46.508,69.05243902,57.67604015,55.76891673,46.54904609,49.42739131,53.14,45.2049485,48.398,71.12853659,51.661,58.856,73.5704878,71.71902439,71.80682927,68.2,60.864,72.88292683,62.56690244,53.118,60.55441463,39.699,52.782,62.61219512,66.169,60.55860199,46.578,66.323,39.98,57.046,64.124,60.88113979,44.26573435,44.7967459,64.528,50.58174303,55.5214318,51.048,61.59482439,71.73536585,70.08143902,70.16463415,69.869,52.94,65.134,45.257,44.908,53.35716169,61.829,56.27124913,66.736,33.078,71.52253659,49.258,52.74820885,70.476,55.819,41.567,50.788,63.25334146,40.254,65.013,71.2911399,53.184,63.47804878,36.031,41.392,54.147,73.8095122,74.17926829,41.457,71.77317073,69.63408238,51.087,55.60385123,53.192,66.018,54.935,63.19,46.653,69.61219512,44.00324377,71.85909756,60.549,66.77073171,65.506,60.33945527,71.11224736,60.518,68.713,68.50414634,68.37658537,44.772,48.6237782,53.771,52.583,39.814,68.65046341,56.998,36.599,55.32,41.342,44.8761712,36.186,44.92788533,58.81471427,55.907,63.199,70.0994878,68.83414634,74.62390244,48.788,59.6,41.813,59.14616073,66.45645804,47.175,59.887,54.427,58.765,60.46095591,39.574,52.74820885,64.357,48.6237782,44.92788533,64.844,52.299,52.887,47.188,49.43,70.18263415,60.38717224,68.664,71.10731707,62.66,64.026,65.428,69.35114634,58.98,54.981,59.1104609,60.256,37.888,53.157,50.542,57.135
1972,69.851,38.461,41.65,67.582,53.40688731,62.949,67.078,70.605,66.28,71.45756098,70.46341463,63.457,44.246,71.40512195,43.229,40.003,46.507,70.8995122,65.042,66.209,67.32,70.09241463,66.504,46.441,59.739,69.149,63.671,40.735,54.853,43.866,72.93390244,69.92544126,73.64439024,72.02,63.555,61.344,45.824,47.593,44.545,51.514,63.105,46.557,54.745,66.943,66.11888398,70.787,73.067,70.17658537,70.867,50.442,73.43902439,59.229,51.201,60.00715595,51.79354338,61.44844553,65.96985444,69.30979443,59.232,52.894,71.60541089,43.934,72.81804878,69.83282927,43.465,71.3130698,46.56229463,70.70731707,62.555,72.10731707,59.675,48.793,72.12439024,68.082,49.912,37.255,39.61,41.276,40.448,71.535,66.139,53.652,66.473,61.938,71.06046005,71.45609756,53.778,44.6645669,68.77873171,47.019,69.66463415,58.32129227,56.35657274,46.88160234,49.89566777,53.72,45.47034954,49.061,71.2322439,52.559,59.484,74.45585366,71.07804878,72.07536585,68.491,61.545,73.50658537,62.82592683,53.674,60.83541463,36.676,53.218,63.0097561,66.602,61.00658556,46.876,66.565,40.65,57.995,64.578,61.32734056,44.49752742,45.24895737,64.934,51.01716043,56.1144294,51.565,62.3242006,71.02463415,70.20531707,69.87878049,70.384,53.305,65.186,45.735,45.7,53.99671175,62.327,56.87577549,67.128,33.782,71.7312439,49.686,53.38991424,70.968,56.192,41.836,51.16,63.43995122,40.762,65.407,71.32627262,53.714,63.92682927,36.203,41.829,54.744,73.72707317,74.34463415,42.024,71.82926829,69.92936384,51.92,55.95990734,53.699,66.515,55.671,63.202,47.383,70.66585366,44.46215477,72.16946341,61.379,68.32439024,65.653,60.61524997,71.34880759,60.836,69.245,68.4702439,68.30853659,44.848,49.20067525,54.872,52.901,40.562,69.04290244,57.774,37.092,55.586,41.727,45.30097626,36.575,45.351434,59.11613692,56.472,63.47,70.09892683,69.05853659,74.71804878,49.479,60.378,42.264,59.98919634,66.5964485,47.777,60.404,54.852,59.028,60.9103096,39.085,53.38991424,64.696,49.20067525,45.351434,65.003,53.452,53.492,47.609,49.558,70.09085366,61.1144398,68.732,71.15609756,62.903,64.365,65.896,69.64660976,58.826,55.51,59.59650884,60.599,38.981,53.713,50.961,57.329
1973,70.191,39.003,42.016,67.953,54.01585439,63.759,67.383,70.723,66.498,71.84682927,71.01463415,63.582,44.528,71.63536585,43.781,40.493,46.773,71.34219512,65.757,66.397,67.867,70.08243902,66.939,46.893,60.132,69.436,64.196,41.263,55.398,44.695,73.16268293,70.06777719,73.94097561,72.133,64.231,62.281,46.64,48.135,44.804,51.888,63.578,47.001,55.631,67.541,66.36497905,71.255,73.302,70.02268293,71.01668293,50.982,73.68219512,59.764,51.676,60.7837749,52.33452539,62.14424362,66.04903513,69.404934,59.745,53.408,71.70035161,44.316,72.61073171,69.72458537,43.693,71.42220836,47.03846721,71.22365854,62.633,72.35609756,60.079,49.612,72.32439024,68.401,50.206,37.624,40.485,41.597,40.732,71.81485366,66.395,54.181,66.86,62.005,71.24081237,72.1097561,54.439,45.06776529,69.0292439,47.559,69.51804878,58.93404325,56.9204628,47.2390091,50.34671078,54.288,45.77905533,49.722,71.34556098,53.513,60.086,74.45097561,71.69341463,72.02634146,68.791,62.215,73.75756098,63.06092683,54.218,61.09290244,32.667,53.633,63.40731707,67.02,61.44845792,47.166,66.789,41.346,58.902,65.04,61.7689478,44.77514803,45.68776163,65.321,51.48572378,56.69039246,52.129,62.99814146,71.33219512,70.35817073,69.81341463,70.897,53.676,65.213,46.203,46.52,54.70712112,62.845,57.46342835,67.474,34.493,71.92743902,50.098,54.07142811,71.392,56.477,42.135,51.539,63.68553659,41.262,65.775,71.52944731,54.262,64.37560976,36.402,42.276,55.307,74.14390244,74.44219512,42.588,71.66829268,70.12009302,52.811,56.28412822,54.171,67.02,56.36,63.197,48.105,70.66341463,44.91909761,72.46473171,62.161,67.52439024,65.806,60.90295154,71.50992238,61.149,69.758,69.00560976,68.29463415,44.945,49.80486877,55.981,53.184,41.445,69.44031707,58.522,37.572,55.793,42.111,45.7242586,36.974,45.77361686,59.39961057,57.04,63.724,70.12507317,69.40487805,74.86731707,50.191,61.137,42.681,60.76571766,66.69576854,48.371,60.929,55.272,59.267,61.3552121,38.077,54.07142811,65.017,49.80486877,45.77361686,65.177,54.59,54.109,48.04,49.65,69.96292683,61.79344475,68.823,71.35609756,63.125,64.711,66.331,69.93558537,59.203,56.043,60.04512061,60.948,40.093,54.281,51.351,57.509
1974,70.519,39.558,42.374,68.343,54.64286658,64.525,67.686,70.775,66.727,72.23609756,71.01219512,63.687,44.865,71.98585366,44.337,41.025,47.396,71.20804878,66.421,66.593,68.39,70.06807317,67.354,47.355,60.513,69.756,64.709,41.784,55.957,45.504,73.23756098,70.30593937,74.28707317,72.261,64.917,63.134,47.418,48.675,45.026,52.249,64.047,47.441,56.609,68.17,66.61828725,71.707,73.53,70.08658537,71.19541463,51.442,73.80829268,60.277,52.218,61.51220954,52.88440762,62.84398966,66.12594193,69.60873126,60.258,54.021,72.02606205,44.691,72.9697561,69.59021951,43.894,71.72633541,47.503137,71.13487805,62.752,72.60487805,60.473,50.425,72.52439024,68.718,50.507,38.041,41.352,41.925,41.021,72.06463415,66.649,54.676,67.235,62.072,71.65497507,72.61219512,55.124,45.46575685,69.25270732,48.119,69.24804878,59.52944739,57.47354342,47.62897489,50.78215761,54.843,46.14182268,50.374,71.47202439,54.463,60.644,74.51170732,71.66170732,72.73439024,69.099,62.869,74.39390244,63.27992683,54.749,61.33290244,28.04,54.027,63.80487805,67.426,61.8823188,47.449,66.995,42.061,59.77,65.515,62.2035503,45.11153263,46.11083822,65.694,51.98878155,57.24964322,52.731,63.65325317,71.24414634,70.54256098,69.74097561,71.4,54.066,65.221,46.656,47.368,55.42402912,63.378,58.03488479,67.773,35.205,72.11119512,50.503,54.77918735,71.748,56.676,42.451,51.935,63.99997561,41.744,66.117,72.07959682,54.82,64.82439024,36.633,42.729,55.833,74.53682927,74.75365854,43.151,71.92439024,70.5356727,53.76,56.59990236,54.613,67.527,56.994,63.185,48.815,71.11707317,45.37054766,72.73790244,62.896,68.0195122,65.964,61.20434486,71.88992736,61.469,70.254,69.4997561,68.3202439,45.084,50.43138115,57.078,53.43,42.442,69.83478049,59.233,38.032,55.948,42.494,46.14253683,37.378,46.19101405,59.68018749,57.597,63.964,70.17590244,70.16097561,74.9804878,50.919,61.872,43.059,61.49404838,66.83363969,48.958,61.459,55.675,59.488,61.79397583,36.66,54.77918735,65.322,50.43138115,46.19101405,65.368,55.704,54.741,48.472,49.715,69.80885366,62.42570948,68.941,71.95609756,63.332,65.069,66.729,70.21758537,60.112,56.582,60.54066393,61.301,41.219,54.856,51.7,57.688
1975,70.833,40.128,42.721,68.736,55.27798846,65.244,67.985,70.783,66.975,72.62536585,71.11463415,63.776,45.242,71.97121951,44.882,41.63,48.313,71.0497561,67.04,66.785,68.872,70.04826829,67.751,47.828,60.884,70.113,65.209,42.311,56.524,46.275,73.52170732,70.17440869,74.66560976,72.409,65.609,63.915,48.147,49.205,45.222,52.6,64.518,47.887,57.63,68.825,66.87568445,72.138,73.753,70.41463415,71.40173171,51.832,74.07512195,60.764,52.866,62.2030763,53.44275747,63.51471196,65.92293066,69.58321775,60.774,54.717,72.16923441,45.054,73.31878049,69.44131707,44.044,71.80784336,47.95327757,71.67365854,62.913,72.85365854,60.85,51.234,72.72439024,69.014,50.811,38.502,42.205,42.263,41.344,72.29370732,66.895,55.14,67.599,62.14,71.9982949,73.36829268,55.834,45.8542184,70.00195122,48.683,69.29,60.05280944,57.97054857,48.05642775,51.20568915,55.386,46.5644668,51.012,71.61660976,55.264,61.078,75.57878049,72.04512195,72.64731707,69.41,63.502,75.05731707,63.49187805,55.273,61.56485366,23.595,54.399,64.15365854,67.824,62.30788285,47.722,67.183,42.786,60.6,65.997,62.63051051,45.51503394,46.51511226,66.067,52.52331252,57.76348853,53.367,64.19280833,70.86731707,70.75760976,68.92536585,71.887,54.492,65.209,47.094,48.25,56.13674857,63.922,58.55990308,68.02,35.921,72.28109756,50.907,55.47527632,72.041,56.796,42.759,52.358,64.39053659,42.206,66.442,72.69361493,55.369,65.27317073,36.905,43.187,56.319,74.49878049,74.81756098,43.718,72.2195122,70.8855473,54.755,56.94259165,55.028,68.027,57.575,63.183,49.512,70.56097561,45.81195592,72.98246341,63.579,68.3097561,66.13,61.51922028,72.23756124,61.823,70.734,69.61390244,67.72390244,45.315,51.07060815,58.148,53.638,43.521,70.21970732,59.899,38.468,56.052,42.876,46.55192538,37.767,46.59977766,59.97973805,58.13,64.201,70.24487805,70.35853659,74.98463415,51.661,62.579,43.396,62.1850064,66.62781119,49.537,61.985,56.043,59.703,62.22644011,35.092,55.47527632,65.611,51.07060815,46.59977766,65.572,56.794,55.387,48.887,49.769,69.63463415,62.9632033,69.089,72.60487805,63.53,65.445,67.092,70.49007317,61.446,57.128,60.98672993,61.661,42.364,55.428,51.999,57.892
1976,71.14,40.715,43.053,69.11,55.90961232,65.916,68.283,70.783,67.244,73.01463415,71.56585366,63.852,45.63,72.1197561,45.399,42.343,49.402,71.39487805,67.616,66.962,69.296,70.01590244,68.135,48.312,61.243,70.509,65.696,42.861,57.091,46.992,73.85609756,70.3191489,74.78536585,72.58,66.307,64.631,48.825,49.719,45.41,52.944,64.994,48.356,58.626,69.501,67.13336657,72.543,73.971,70.53268293,71.63414634,52.177,73.7397561,61.226,53.661,62.86278109,54.00367532,64.12508584,65.89652075,69.68399762,61.298,55.465,72.43466829,45.404,73.64268293,69.29002439,44.116,72.0344417,48.38540944,71.81292683,63.11,73.10243902,61.206,52.041,72.77560976,69.266,51.113,39,43.047,42.612,41.738,72.51956098,67.13,55.577,67.951,62.211,72.25409931,72.8195122,56.567,46.22904976,70.45536585,49.232,69.57317073,60.57554941,58.47104967,48.52135307,51.62172158,55.92,47.04523902,51.63,71.78278049,55.744,61.291,76.97219512,72.95609756,72.99195122,69.718,64.108,75.45682927,63.70926829,55.802,61.7972439,20.317,54.748,64.50243902,68.217,62.72313131,47.985,67.352,43.514,61.393,66.478,63.04782471,45.9851157,46.89811571,66.459,53.07993113,58.27347487,54.03,64.75029049,70.95804878,70.9985122,69.04780488,72.352,54.976,65.172,47.517,49.167,56.80557025,64.467,59.08296086,68.212,36.645,72.43678049,51.312,56.1120746,72.286,56.848,43.028,52.817,64.85563415,42.649,66.761,72.95320432,55.882,65.72195122,37.227,43.647,56.764,74.64707317,75.0395122,44.294,72.42195122,71.16522372,55.781,57.31569088,55.421,68.513,58.114,63.206,50.197,70.65609756,46.2382565,73.19082927,64.206,68.86097561,66.302,61.84401881,72.4730132,62.239,71.198,69.69878049,67.48756098,45.692,51.70773312,59.179,53.807,44.641,70.59397561,60.515,38.881,56.11,43.259,46.94931031,38.118,46.99677869,60.29997063,58.623,64.445,70.32246341,70.30731707,74.96926829,52.421,63.258,43.698,62.84514932,66.62492858,50.112,62.495,56.354,59.925,62.65070431,33.714,56.1120746,65.886,51.70773312,46.99677869,65.782,57.866,56.046,49.269,49.826,69.44617073,63.4867534,69.271,72.85609756,63.729,65.844,67.42,70.75053659,63.01,57.684,61.4087899,62.031,43.54,55.99,52.247,58.15
1977,71.441,41.32,43.367,69.448,56.52807641,66.545,68.585,70.798,67.533,73.34439024,71.91463415,63.921,45.999,72.77390244,45.883,43.166,50.498,70.81609756,68.152,67.118,69.657,69.96741463,68.509,48.806,61.595,70.931,66.164,43.447,57.649,47.648,74.21560976,70.24237315,75.23804878,72.773,67.005,65.278,49.456,50.213,45.609,53.282,65.477,48.86,59.535,70.182,67.3852138,72.915,74.183,70.57341463,71.88368293,52.513,74.63243902,61.663,54.609,63.48285704,54.55359162,64.70935722,65.90026339,69.85636612,61.834,56.222,72.79004212,45.739,74.13195122,69.14695122,44.103,72.29552283,48.79966422,72.3502439,63.327,73.35121951,61.535,52.848,73.22439024,69.461,51.409,39.527,43.882,42.97,42.218,72.76165854,67.347,56,68.292,62.283,72.6005018,73.3195122,57.317,46.58948193,70.74439024,49.746,69.84804878,61.05872288,58.94101043,49.01078912,52.03214706,56.448,47.56456586,52.222,71.969,55.827,61.238,76.37365854,72.95853659,73.36463415,70.015,64.683,75.89829268,63.94009756,56.337,62.04007317,18.907,55.074,64.9,68.602,63.1314261,48.244,67.507,44.226,62.15,66.94,63.45824475,46.50062561,47.26186085,66.874,53.63938242,58.75603099,54.709,65.26681358,70.8095122,71.25629268,69.10463415,72.793,55.525,65.111,47.926,50.116,57.37213284,65.009,59.57861829,68.355,37.385,72.58380488,51.714,56.65940744,72.504,56.86,43.242,53.306,65.37243902,43.082,67.085,73.34941115,56.338,66.17073171,37.6,44.104,57.177,75.22146341,75.38682927,44.885,72.16829268,71.53170242,56.813,57.6919975,55.796,68.976,58.636,63.263,50.867,70.40243902,46.64665235,73.36131707,64.776,70.01219512,66.481,62.17017275,72.81479168,62.728,71.644,69.74195122,67.37634146,46.225,52.3245294,60.169,53.946,45.767,70.96090244,61.079,39.268,56.142,43.639,47.33347359,38.417,47.38072553,60.62055369,59.063,64.704,70.39860976,70.55609756,75.3797561,53.198,63.914,43.979,63.46590841,66.6093453,50.683,62.986,56.604,60.163,63.06976346,32.827,56.65940744,66.149,52.3245294,47.38072553,65.987,58.928,56.709,49.606,49.886,69.25343902,63.96552789,69.484,73.25609756,63.934,66.263,67.723,70.99992683,64.547,58.249,61.83263446,62.41,44.753,56.538,52.449,58.47
1978,71.736,41.944,43.66,69.742,57.13390025,67.137,68.891,70.838,67.837,73.67414634,72.01219512,63.992,46.327,72.69804878,46.335,44.081,51.473,71.18463415,68.651,67.253,69.954,69.90631707,68.874,49.31,61.942,71.364,66.61,44.077,58.186,48.233,74.5297561,70.14793211,75.18731707,72.983,67.698,65.857,50.041,50.682,45.833,53.611,65.964,49.406,60.312,70.853,67.62785013,73.249,74.39,70.64390244,72.14329268,52.865,74.39292683,62.079,55.7,64.05795009,55.08662529,65.23399485,65.98928445,69.94545209,62.382,56.958,73.0111208,46.059,74.29560976,69.02626829,44.016,72.43370419,49.19831254,72.89707317,63.552,73.60243902,61.834,53.652,73.17560976,69.592,51.698,40.082,44.712,43.333,42.788,73.03107317,67.545,56.418,68.624,62.355,72.7463286,73.57560976,58.08,46.93633037,70.53878049,50.215,69.39390244,61.51072488,59.38568244,49.50721577,52.43706127,56.971,48.09698539,52.786,72.17373171,55.514,60.933,76.64926829,73.20731707,73.69317073,70.294,65.224,76.03829268,64.19190244,56.872,62.30090244,19.725,55.382,65.19756098,68.977,63.5333243,48.503,67.656,44.902,62.869,67.374,63.86230084,47.03336061,47.61123637,67.308,54.1846898,59.21296318,55.39,65.74556549,70.60463415,71.52246341,68.98780488,73.209,56.142,65.037,48.317,51.087,57.8543956,65.54,60.04792256,68.462,38.142,72.73212195,52.113,57.10985856,72.714,56.861,43.391,53.82,65.91331707,43.504,67.42,73.47017107,56.731,66.30365854,38.02,44.547,57.57,75.14512195,75.41853659,45.493,73.0195122,71.71495314,57.829,58.12168943,56.158,69.412,59.158,63.362,51.518,70.35121951,47.03478276,73.49873171,65.294,70.31707317,66.664,62.49162986,72.9494563,63.291,72.072,69.4804878,67.39097561,46.895,52.90934325,61.116,54.061,46.869,71.32334146,61.591,39.623,56.178,44.013,47.7030049,38.662,47.74998025,60.97388045,59.436,64.981,70.4652439,70.70243902,75.46902439,53.991,64.552,44.251,64.04179481,66.6593905,51.246,63.464,56.8,60.422,63.48387155,32.629,57.10985856,66.402,52.90934325,47.74998025,66.182,59.979,57.37,49.889,49.943,69.07090244,64.40986191,69.723,73.35609756,64.152,66.698,68.009,71.2392439,65.859,58.819,62.19337443,62.796,46,57.071,52.607,58.85
1979,72.023,42.585,43.931,69.991,57.73485953,67.692,69.197,70.897,68.154,74.00390244,72.31219512,64.069,46.608,73.19365854,46.764,45.06,52.277,71.30829268,69.117,67.372,70.193,69.84163415,69.229,49.824,62.286,71.8,67.031,44.751,58.692,48.737,74.86634146,70.23939699,75.46609756,73.208,68.378,66.377,50.579,51.123,46.086,53.927,66.451,49.992,60.941,71.501,67.86143312,73.543,74.592,70.7495122,72.40853659,53.241,74.21926829,62.477,56.909,64.58727736,55.59597769,65.72782056,65.9493442,70.06396883,62.942,57.659,73.33436588,46.364,74.81878049,68.93858537,43.881,72.69805228,49.58424539,73.15536585,63.776,73.85121951,62.1,54.452,73.27560976,69.665,51.984,40.667,45.533,43.697,43.435,73.32936585,67.723,56.84,68.947,62.427,73.05643711,73.67317073,58.851,47.27141519,70.42731707,50.635,69.61536585,61.91521567,59.78967684,49.99571601,52.83411915,57.488,48.62193249,53.319,72.39346341,54.882,60.435,76.77317073,73.50731707,74.00268293,70.553,65.731,76.33756098,64.46673171,57.393,62.5857561,22.744,55.679,65.54634146,69.342,63.92934547,48.771,67.802,45.52,63.548,67.775,64.2600023,47.55976863,47.95104933,67.751,54.70404645,59.6237416,56.058,66.16110734,70.48219512,71.79446341,68.49560976,73.602,56.823,64.971,48.683,52.069,58.26238726,66.055,60.46824756,68.549,38.909,72.89119512,52.511,57.47736293,72.922,56.875,43.479,54.357,66.45578049,43.912,67.766,73.90794075,57.067,66.43658537,38.48,44.963,57.955,75.60609756,75.41390244,46.124,73.06829268,72.05897718,58.813,58.57478196,56.512,69.818,59.691,63.503,52.145,70.75121951,47.40120556,73.60643902,65.762,71.16829268,66.847,62.80349732,73.24446184,63.916,72.48,69.15317073,67.11439024,47.661,53.45632847,62.016,54.161,47.927,71.68273171,62.05,39.936,56.248,44.375,48.05678565,38.861,48.1037237,61.33963214,59.731,65.274,70.51990244,70.85365854,75.52414634,54.795,65.172,44.521,64.57196844,66.6408772,51.799,63.935,56.954,60.701,63.89302735,33.178,57.47736293,66.648,53.45632847,48.1037237,66.364,61.01,58.023,50.115,49.988,68.91512195,64.78829428,69.983,73.80487805,64.385,67.143,68.281,71.47097561,66.865,59.391,62.5554089,63.184,47.265,57.59,52.722,59.274
