year,Aruba,Afghanistan,Angola,Albania,Arab World,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,Somalia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Syrian Arab Republic,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,65.662,32.446,37.524,62.283,46.54690889,51.537,65.055,65.972,61.968,70.81707317,68.58560976,61.034,41.281,69.70195122,37.271,34.432,45.379,69.24756098,51.869,64.74,60.353,67.70809756,59.981,41.82,54.143,64.472,54.81,34.526,49.179,36.249,71.13317073,67.82138864,71.31341463,70.739,57.219,43.725,36.095,41.785,41.098,45.721,57.269,41.447,48.461,60.381,62.74629594,63.834,69.618,70.34878049,69.31002439,44.038,72.17658537,51.602,46.141,45.613242,45.09089807,48.41589906,63.18187386,67.02654161,52.982,48.042,69.29058091,38.419,69.10926829,67.90290244,38.419,69.02086662,40.57473741,68.8197561,60.811,69.86829268,54.513,39.694,71.12682927,63.651,45.843,34.89,32.054,37.478,36.535,68.16390244,62.231,46.702,60.97,60.26,68.46512785,66.96168293,46.274,39.77965767,64.60865854,41.762,68.00317073,48.67617721,47.53034419,41.7404851,43.2509636,46.664,41.03665958,41.422,69.7965122,44.947,48.022,73.42317073,0,69.12390244,64.77,52.651,67.66609756,58.36758537,46.76,56.12807317,41.242,47.061,55.41553659,59.343,55.66851301,43.204,63.267,34.264,42.609,56.739,56.07766671,40.30748484,39.72477004,59.369,45.11891624,47.08134463,47.919,50.24729658,69.84731707,68.44639024,69.78682927,64.828,48.458,61.995,39.962,37.343,46.44164421,57.077,47.58468159,60.633,28.199,69.4332439,42.381,46.36310757,63.82,48.392,39.439,44.432,58.74521951,36.672,59.991,69.89360376,46.483,58.63902439,35.053,36.976,46.998,73.39268293,73.5497561,35.583,71.23658537,67.23701572,42.672,51.4150048,45.299,60.864,48.012,61.105,38.935,67.6804878,39.13610002,68.71960976,51.297,63.27290244,63.881,56.50549714,68.81554468,56.282,61.094,65.64243902,66.05529268,42.616,42.12020819,45.638,48.194,38.223,65.65982927,48.123,31.566,49.95,36.976,40.32443747,31.697,40.37789792,55.01987673,50.378,59.682,69.92365854,68.97804878,73.00560976,43.572,51.971,38.02,45.53974029,63.79518213,40.297,54.701,50.613,54.471,55.65342678,33.729,46.36310757,59.885,42.12020819,40.37789792,62.222,42.021,45.369,43.6,44.359,68.29953659,49.34901372,67.783,69.77073171,58.835,59.26,59.831,66.22485366,59.039,48.975,52.57836655,56.902,29.919,48.406,46.687,53.019
1961,66.074,32.962,37.811,63.301,47.14162088,52.56,65.176,66.403,62.523,70.97317073,69.57731707,61.256,41.592,70.52097561,37.727,34.897,45.97,70.19560976,53.235,64.885,61.019,68.21265854,60.531,42.15,54.634,65.198,55.81,34.889,49.684,36.715,71.34609756,68.26219834,71.64487805,70.833,57.616,44.051,36.948,42.255,41.312,46.338,57.813,41.846,48.66,61.018,63.12613307,64.446,69.949,70.51268293,69.508,44.469,72.43829268,52.306,46.599,46.05825602,45.74935918,48.9441675,63.68327668,67.38864141,53.547,48.609,69.66027111,39.075,69.4804878,68.36080488,39.082,69.41221195,41.07758052,68.84414634,61.172,70.11707317,54.954,40.082,70.87804878,64.058,46.279,35.086,32.336,37.752,36.872,68.54863415,62.657,47.219,61.481,60.441,68.85672825,67.5487561,46.953,40.22140255,65.0155122,42.182,68.93609756,49.19620606,48.04028571,42.27606082,43.90891618,47.276,41.51555638,42.027,69.97826829,45.512,49.222,73.50341463,72.00658537,69.7602439,65.133,53.438,68.31,58.78158537,47.417,56.56412195,41.366,47.557,56.01497561,60.099,56.15312142,43.511,63.575,34.56,44.211,57.589,56.54932316,40.76998603,40.16271928,59.769,45.69959069,47.59658811,48.162,50.74739116,70.10268293,68.73773171,70.03243902,65.301,48.88,62.367,40.444,37.936,47.54702719,57.668,48.11017186,61.259,28.345,69.61439024,42.961,46.96399994,64.508,49.304,39.879,45.132,59.74836585,36.934,60.515,70.36801738,47.231,59.03902439,35.141,37.431,47.636,73.65268293,73.5504878,35.941,70.98536585,67.62903683,43.499,51.8677456,46.197,61.38,48.628,61.509,39.542,67.77804878,39.593335,68.94317073,51.674,63.68636585,64.105,56.95930994,69.21825715,56.708,61.851,66.41587805,66.59702439,42.941,42.7424786,46.145,48.618,38.38,66.08719512,48.939,31.925,50.621,37.374,40.7691446,32.125,40.82470974,55.45566634,50.909,60.038,70.25085366,68.97804878,73.47439024,43.951,52.568,38.279,45.98404554,64.26915473,40.941,55.233,50.927,54.897,56.12638524,34.229,46.96399994,60.281,42.7424786,40.82470974,62.652,42.656,46.093,43.859,44.955,68.76385366,49.86438204,68.007,70.27073171,59.21,59.891,60.377,66.48797561,59.72,49.498,53.07954286,57.188,30.163,48.777,47.084,53.483
1962,66.444,33.471,38.113,64.19,47.73178332,53.573,65.269,66.838,63.049,70.94243902,69.3095122,61.469,41.907,70.2195122,38.188,35.369,46.557,69.49195122,54.59,65.011,61.646,68.63582927,61.092,42.49,55.13,65.831,56.805,35.29,50.171,37.19,71.36707317,68.00692564,71.19609756,70.928,58.031,44.783,37.78,42.721,41.529,46.928,58.329,42.245,48.944,61.638,63.47646668,65.066,70.272,69.78682927,69.69153659,44.892,72.3197561,52.997,47.056,46.77432843,46.34439398,49.60789409,64.06079743,67.48004141,54.098,49.134,69.61739226,39.693,69.51902439,68.74102439,39.711,69.31836169,41.57921517,68.57780488,61.478,70.31463415,55.396,40.56,70.92682927,64.469,46.696,35.266,32.67,38.042,37.208,68.89226829,63.064,47.75,61.986,60.623,68.84760496,68.10597561,47.625,40.65231473,65.4082439,42.591,67.86585366,49.79469345,48.62026215,42.80489842,44.54693611,47.877,41.99365353,42.637,70.13407317,46.069,50.409,73.72195122,72.11219512,69.1497561,65.465,54.22,68.59487805,59.19956098,48.058,57.00265854,41.526,48.071,56.51231707,60.841,56.62073291,43.817,63.871,34.911,45.833,58.428,57.00527523,41.23322671,40.59486122,60.177,46.27260946,48.19325791,48.383,51.38675735,69.09536585,68.99812195,69.4304878,65.757,49.307,62.743,40.924,38.56,48.14301929,58.193,48.72021273,61.87,28.535,69.77065854,43.567,47.55821292,65.181,50.185,40.238,45.834,60.62690244,37.183,61.012,70.2327068,47.957,59.43902439,35.223,37.871,48.277,73.32390244,73.44804878,36.357,71.23170732,67.63167455,44.311,52.30944674,47.059,61.88,49.224,61.86,40.167,67.42682927,40.04278832,69.14543902,52.076,64.09521951,64.314,57.38946438,69.21943374,57.093,62.61,67.02907317,67.02141463,43.251,43.36653558,46.665,49.035,38.462,66.4322439,49.749,32.302,51.256,37.773,41.20327752,32.55,41.26041567,55.87321094,51.428,60.377,70.47229268,68.97804878,73.3504878,44.325,53.176,38.536,46.70396519,64.58687124,41.58,55.745,51.237,55.326,56.58227076,34.73,47.55821292,60.687,43.36653558,41.26041567,63.036,43.351,46.83,44.121,45.558,69.14609756,50.5140041,68.198,70.1195122,59.589,60.474,60.907,66.74109756,60.387,50.031,53.49679848,57.472,30.5,49.142,47.446,53.946
1963,66.787,33.971,38.43,64.914,48.32043196,54.572,65.348,67.277,63.54,70.91170732,69.44365854,61.679,42.225,70.05146341,38.655,35.847,47.126,70.30926829,55.911,65.121,62.243,68.99207317,61.663,42.84,55.627,66.381,57.756,35.734,50.641,37.683,71.38073171,68.69604737,71.18756098,71.03,58.467,45.972,38.583,43.182,41.755,47.486,58.825,42.644,49.323,62.236,63.80444321,65.695,70.587,70.30439024,69.85960976,45.309,72.4004878,53.675,47.509,47.79880987,46.87490909,50.5735983,64.42124365,67.74717998,54.635,49.628,69.78554508,40.259,69.68121951,69.05356098,40.29,69.61285151,42.08089673,69.01268293,61.741,70.51463415,55.838,41.149,70.82682927,64.881,47.093,35.432,33.07,38.349,37.542,69.18570732,63.451,48.295,62.482,60.805,69.05910213,68.62585366,48.285,41.07103066,65.78787805,43,68.87414634,50.53221784,49.31943875,43.32504577,45.16226586,48.468,42.46947732,43.252,70.27292683,46.621,51.58,73.04292683,0,69.24804878,65.784,54.995,69.65804878,59.61953659,48.674,57.44319512,41.71,48.601,56.97060976,61.565,57.07230183,44.121,64.157,35.322,47.415,59.246,57.44665584,41.69551889,41.03043349,60.611,46.83738654,48.89848237,48.59,52.25782092,70.20439024,69.22307317,69.82902439,66.199,49.738,63.122,41.401,39.209,48.23119728,58.656,49.44357514,62.469,28.782,69.91995122,44.215,48.14911653,65.827,51.012,40.508,46.531,61.35765854,37.421,61.486,70.05038739,48.656,59.88780488,35.298,38.291,48.92,73.33707317,73.07756098,36.828,71.2804878,67.84732022,45.11,52.71549045,47.884,62.36,49.792,62.16,40.817,68.37560976,40.48382628,69.356,52.61,64.4965122,64.5,57.79953575,69.42277733,57.465,63.369,67.44107317,67.33990244,43.54,43.99143778,47.207,49.446,38.477,66.70080488,50.555,32.705,51.847,38.175,41.625185,32.975,41.68335604,56.25834442,51.931,60.705,70.59492683,68.62195122,73.55536585,44.699,53.797,38.795,47.73554269,65.00579873,42.215,56.231,51.544,55.757,57.02215548,35.232,48.14911653,61.103,43.99143778,41.68335604,63.373,44.11,47.573,44.393,46.162,69.45770732,51.35074114,68.347,69.91707317,59.969,61.006,61.422,66.99621951,61.02,50.576,54.02202426,57.756,30.943,49.509,47.772,54.403
1964,67.113,34.463,38.76,65.463,48.91001854,55.555,65.426,67.716,63.992,70.88097561,69.92195122,61.889,42.54,70.75512195,39.13,36.331,47.649,71.12121951,57.182,65.219,62.818,69.28992683,62.241,43.199,56.121,66.86,58.638,36.22,51.099,38.201,71.77634146,69.05248454,72.07780488,71.143,58.927,47.592,39.358,43.639,41.995,48.016,59.308,43.043,49.797,62.807,64.11379354,66.327,70.895,70.4595122,70.01370732,45.727,72.48512195,54.34,47.958,49.13719288,47.45643664,51.75893886,64.72454035,68.14189443,55.158,50.101,70.244306,40.768,70.3997561,69.30992683,40.81,70.0308427,42.58396646,69.22097561,61.967,70.66341463,56.279,41.849,71.62439024,65.291,47.469,35.588,33.543,38.671,37.874,69.42943902,63.817,48.856,62.968,60.984,69.45057047,69.10436585,48.926,41.47818515,66.15443902,43.414,69.38097561,51.39514342,50.11972997,43.83270134,45.75418078,49.051,42.9379325,43.873,70.40129268,47.172,52.73,73.54170732,0,70.31170732,66.1,55.765,70.13243902,60.038,49.261,57.8822439,41.893,49.145,57.44092683,62.265,57.51015123,44.424,64.435,35.796,48.914,60.035,57.87529133,42.15179709,41.47684827,61.078,47.39186577,49.71804418,48.797,53.36286263,71.50902439,69.41104878,71.02804878,66.629,50.168,63.496,41.876,39.878,48.82610947,59.069,50.28896152,63.06,29.097,70.07573171,44.907,48.73991591,66.438,51.771,40.698,47.214,61.93495122,37.655,61.943,70.31320505,49.325,60.33658537,35.368,38.691,49.566,73.70414634,73.59585366,37.346,71.32926829,68.24161303,45.896,53.12636559,48.67,62.824,50.334,62.411,41.495,68.62926829,40.91822233,69.59329268,53.335,64.89126829,64.659,58.18992807,69.82775077,57.845,64.123,67.65043902,67.5665122,43.803,44.61552049,47.781,49.852,38.449,66.91021951,51.357,33.134,52.391,38.578,42.03591634,33.402,42.09456992,56.63712261,52.417,61.026,70.63278049,68.66341463,73.73317073,45.083,54.435,39.059,49.08235238,65.29747559,42.846,56.692,51.851,56.186,57.44892226,35.734,48.73991591,61.527,44.61552049,42.09456992,63.663,44.932,48.312,44.682,46.755,69.70821951,52.40768392,68.455,70.16585366,60.348,61.488,61.923,67.26036585,61.581,51.131,54.69192274,58.045,31.501,49.888,48.068,54.849
1965,67.435,34.948,39.102,65.85,49.49647844,56.523,65.518,68.153,64.401,70.8502439,69.72219512,62.104,42.838,70.62536585,39.615,36.815,48.05,71.29390244,58.388,65.31,63.381,69.53741463,62.823,43.568,56.61,67.275,59.434,36.745,51.547,38.754,71.87219512,69.2769976,72.20170732,71.265,59.415,49.549,40.115,44.095,42.257,48.517,59.784,43.446,50.345,63.348,64.4077192,66.956,71.197,70.16317073,70.15182927,46.166,72.37073171,54.993,48.394,50.71338457,48.02841986,53.11545966,64.96022347,68.29079789,55.669,50.545,70.3291237,41.221,70.80926829,69.51763415,41.267,70.15715475,43.08818616,68.97780488,62.157,70.81219512,56.717,42.651,71.62439024,65.694,47.823,35.74,34.097,39.004,38.205,69.638,64.161,49.434,63.443,61.157,69.55576873,69.54287805,49.548,41.87599366,66.51204878,43.837,69.07121951,52.36459458,51.00421408,44.31844877,46.32412548,49.629,43.38461669,44.5,70.52314634,47.729,53.839,73.86878049,0,70.17170732,66.42,56.526,70.20195122,60.45195122,49.821,58.31526829,42.083,49.697,57.96829268,62.934,57.93946784,44.728,64.709,36.324,50.303,60.781,58.29637378,42.58674242,41.93803844,61.579,47.92761187,50.61954389,49.015,54.66525455,71.32512195,69.56102439,70.72658537,67.055,50.593,63.856,42.351,40.56,49.41987368,59.447,51.22129376,63.642,29.489,70.24792683,45.63,49.32752719,67.022,52.461,40.822,47.868,62.35829268,37.899,62.39,70.36672191,49.958,60.78536585,35.435,39.072,50.216,73.56878049,73.72317073,37.903,71.22682927,68.36221923,46.665,53.51301466,49.42,63.275,50.872,62.618,42.201,69.42926829,41.34824313,69.8707561,54.264,65.28004878,64.793,58.55975974,69.91399924,58.242,64.866,67.69785366,67.71885366,44.034,45.23222454,48.408,50.257,38.407,67.08580488,52.157,33.59,52.893,38.982,42.4373678,33.828,42.49596052,56.99161578,52.891,61.346,70.60336585,68.36585366,73.86170732,45.489,55.096,39.344,50.6671582,65.57530148,43.473,57.133,52.166,56.609,57.86817345,36.273,49.32752719,61.957,45.23222454,42.49596052,63.908,45.821,49.035,44.991,47.32,69.90563415,53.62804318,68.521,70.21463415,60.723,61.924,62.416,67.5405122,61.963,51.694,55.35110994,58.34,32.175,50.284,48.351,55.274
1966,67.762,35.43,39.454,66.11,50.07294683,57.482,65.64,68.588,64.762,70.8195122,70.04585366,62.322,43.105,70.70634146,40.109,37.291,48.236,71.22341463,59.524,65.402,63.94,69.73460976,63.402,43.947,57.091,67.628,60.147,37.303,51.991,39.355,72.00439024,69.52707193,72.33560976,71.391,59.931,51.696,40.873,44.555,42.549,48.993,60.257,43.858,50.934,63.862,64.68466991,67.573,71.491,70.38487805,70.27141463,46.654,72.44414634,55.635,48.811,52.41280106,48.64363714,54.63641049,65.14123734,68.49867826,56.174,50.945,70.60485701,41.63,71.05512195,69.68119512,41.668,70.42815338,43.59351836,69.47707317,62.302,70.96097561,57.153,43.528,71.57317073,66.084,48.155,35.89,34.735,39.343,38.536,69.83746341,64.484,50.032,63.907,61.317,69.8112456,69.94621951,50.151,42.26877747,66.86278049,44.267,69.82243902,53.37470395,51.9171967,44.77166087,46.87547878,50.208,43.79245247,45.136,70.63843902,48.298,54.885,73.3004878,72.28560976,70.92609756,66.74,57.279,70.98658537,60.85541463,50.364,58.73829268,42.298,50.25,58.57517073,63.566,58.36563009,45.033,64.982,36.895,51.581,61.471,58.7150605,42.98108547,42.41401749,62.104,48.43558938,51.55657949,49.254,56.04049747,71.5202439,69.67446341,70.70731707,67.486,51.009,64.186,42.828,41.252,50.48079571,59.807,52.19053556,64.216,29.959,70.44104878,46.357,49.90657633,67.593,53.098,40.904,48.476,62.63870732,38.174,62.833,70.37807047,50.554,61.23414634,35.501,39.442,50.874,73.51292683,73.99536585,38.487,71.12439024,68.63022809,47.413,53.86080202,50.134,63.718,51.432,62.784,42.931,69.82682927,41.77858852,70.18670732,55.356,65.66346341,64.908,58.90517717,70.15865045,58.654,65.588,67.65946341,67.8125122,44.225,45.83521848,49.107,50.663,38.386,67.25595122,52.962,34.072,53.36,39.384,42.83466492,34.248,42.89268807,57.31210072,53.361,61.666,70.5252439,69.01219512,74.07853659,45.929,55.788,39.665,52.3745887,65.7644236,44.098,57.565,52.496,57.021,58.28568267,36.895,49.90657633,62.387,45.83521848,42.89268807,64.112,46.78,49.733,45.321,47.839,70.05653659,54.92781309,68.554,70.21219512,61.089,62.318,62.91,67.83512195,62.037,52.259,56.08261771,58.642,32.96,50.705,48.643,55.671
1967,68.095,35.914,39.813,66.304,50.63441533,58.432,65.796,69.016,65.081,70.86926829,69.91780488,62.539,43.332,71.01292683,40.61,37.754,48.176,70.41390244,60.596,65.499,64.499,69.88165854,63.971,44.337,57.563,67.928,60.803,37.882,52.435,40.005,72.20780488,69.27274219,72.63658537,71.512,60.474,53.847,41.647,45.025,42.868,49.448,60.729,44.283,51.532,64.358,64.9436204,68.171,71.776,70.26414634,70.374,47.203,72.92219512,56.267,49.21,54.10111591,49.18719762,56.10940538,65.2664411,68.62062139,56.676,51.292,70.74398972,42.015,71.25292683,69.80212195,42.026,70.4736029,44.09747776,69.66658537,62.401,71.16097561,57.585,44.442,72.12439024,66.455,48.469,36.048,35.445,39.679,38.866,70.05246341,64.789,50.646,64.361,61.462,70.0303057,70.32578049,50.742,42.66053644,67.20873171,44.7,69.40707317,54.36898231,52.80880622,45.1865608,47.41093398,50.789,44.15160017,45.779,70.74514634,48.888,55.85,73.78317073,71.5097561,70.95658537,67.051,58.022,71.27658537,61.24339024,50.902,59.14631707,42.486,50.796,59.24146341,64.158,58.79313418,45.34,65.255,37.491,52.778,62.099,59.13550494,43.32359477,42.89743546,62.631,48.91005696,52.47984666,49.523,57.39662392,71.60390244,69.76134146,70.39390244,67.928,51.413,64.476,43.31,41.954,51.03925251,60.165,53.14542365,64.775,30.496,70.64807317,47.055,50.47397305,68.169,53.702,40.975,49.032,62.81531707,38.494,63.277,70.71438226,51.116,61.68292683,35.573,39.809,51.538,73.80414634,74.06658537,39.087,71.47317073,68.86130837,48.141,54.21333198,50.812,64.16,52.038,62.915,43.676,69.42439024,42.21222073,70.5235122,56.506,66.04553659,65.015,59.22557031,70.40075458,59.061,66.282,67.62690244,67.86014634,44.38,46.41881249,49.888,51.069,38.424,67.44573171,53.771,34.572,53.803,39.783,43.23182214,34.656,43.28888742,57.62663695,53.838,61.984,70.41853659,69.36585366,74.12243902,46.409,56.51,40.028,54.06985053,65.83186259,44.72,57.998,52.845,57.417,58.70616662,37.597,50.47397305,62.811,46.41881249,43.28888742,64.282,47.804,50.406,45.668,48.297,70.16112195,56.22942232,68.567,70.56097561,61.442,62.682,63.409,68.13819512,61.767,52.819,56.78732491,58.951,33.836,51.148,48.96,56.034
1968,68.436,36.403,40.178,66.487,51.1820997,59.375,65.989,69.427,65.363,70.91902439,70.05756098,62.75,43.523,70.69317073,41.117,38.207,47.888,71.22512195,61.609,65.607,65.059,69.98263415,64.525,44.737,58.025,68.187,61.422,38.469,52.885,40.703,72.35341463,69.5360253,72.5902439,71.623,61.044,55.843,42.449,45.509,43.208,49.887,61.201,44.724,52.119,64.847,65.18699156,68.744,72.052,69.84073171,70.46509756,47.814,73.12146341,56.889,49.597,55.65976225,49.71629377,57.47091261,65.41362998,68.68901659,57.181,51.592,70.79340931,42.394,71.53780488,69.88292683,42.355,70.58413377,44.59889612,69.61634146,62.456,71.3097561,58.012,45.357,71.72439024,66.805,48.768,36.222,36.211,40.01,39.195,70.30256098,65.077,51.267,64.805,61.588,69.97368569,70.69053659,51.33,43.05454799,67.54892683,45.134,69.2302439,55.32969222,53.66552454,45.56346141,47.93459392,51.374,44.46034293,46.428,70.84429268,49.503,56.723,74.00585366,71.05658537,70.78,67.349,58.752,71.61121951,61.61287805,51.446,59.53585366,42.55,51.327,59.94460976,64.713,59.22560623,45.65,65.528,38.099,53.921,62.67,59.56154841,43.61106451,43.38149962,63.144,49.35202591,53.35193743,49.829,58.68192591,71.31365854,69.83514634,70.04292683,68.388,51.808,64.718,43.796,42.669,51.58861095,60.536,54.04582256,65.313,31.086,70.86304878,47.698,51.03117093,68.756,54.285,41.061,49.536,62.93168293,38.866,63.719,70.17624157,51.65,62.13170732,35.658,40.184,52.205,73.61268293,73.94195122,39.691,71.12439024,68.82901033,48.858,54.55985213,51.457,64.607,52.702,63.017,44.425,70.2195122,42.65182904,70.86414634,57.625,66.42729268,65.124,59.5219992,70.32384691,59.452,66.942,67.6712439,67.87434146,44.505,46.9824001,50.751,51.469,38.558,67.67373171,54.584,35.08,54.226,40.179,43.63361719,35.051,43.6894657,57.92863937,54.328,62.299,70.30682927,68.91707317,73.97292683,46.935,57.26,40.435,55.63414729,66.03722499,45.339,58.442,53.214,57.794,59.1334424,38.336,51.03117093,63.224,46.9824001,43.6894657,64.43,48.882,51.053,46.028,48.687,70.22307317,57.45935272,68.575,69.95121951,61.779,63.026,63.916,68.44273171,61.186,53.372,57.38647648,59.266,34.78,51.615,49.313,56.362
1969,68.784,36.9,40.546,66.689,51.72202361,60.304,66.219,69.809,65.616,70.96878049,69.83317073,62.953,43.685,70.76487805,41.63,38.652,47.432,70.43,62.56,65.73,65.621,70.04514634,65.058,45.147,58.475,68.421,62.013,39.057,53.346,41.444,72.50146341,69.2757342,72.61268293,71.726,61.637,57.603,43.276,46.008,43.563,50.313,61.675,45.179,52.698,65.339,65.41992647,69.29,72.318,69.36707317,70.55068293,48.476,73.22097561,57.498,49.982,57.03299279,50.23498293,58.70042924,65.49286992,68.6942516,57.69,51.865,70.79960132,42.773,71.05756098,69.92809756,42.659,70.53345855,45.09614418,69.50341463,62.481,71.45853659,58.434,46.255,71.72195122,67.136,49.057,36.421,37.023,40.333,39.525,70.58929268,65.352,51.889,65.239,61.697,70.17214267,71.04456098,51.921,43.45174675,67.88136585,45.573,69.31463415,56.18375001,54.42848011,45.90699489,48.44561551,51.963,44.72541527,47.081,70.93787805,50.148,57.5,73.77634146,70.9704878,70.81195122,67.636,59.468,71.83878049,61.95987805,51.998,59.90387805,42.369,51.837,60.67502439,65.231,59.66460864,45.962,65.8,38.714,55.011,63.188,59.99482839,43.84988913,43.86148399,63.634,49.76725812,54.14327875,50.18,59.78617172,70.92853659,69.90485366,69.79682927,68.865,52.195,64.908,44.283,43.397,52.14787396,60.932,54.8600249,65.824,31.72,71.08295122,48.279,51.58403136,69.348,54.845,41.178,49.99,63.02019512,39.289,64.161,70.69476442,52.163,62.5804878,35.76,40.569,52.868,73.5395122,73.66341463,40.291,71.47317073,69.02649061,49.574,54.90266448,52.07,65.063,53.42,63.097,45.173,69.7195122,43.0964303,71.20260976,58.681,66.81270732,65.241,59.80104416,70.52133141,59.827,67.567,67.81492683,67.86712195,44.609,47.52899849,51.692,51.86,38.816,67.95107317,55.396,35.59,54.628,40.57,44.04084802,35.432,44.09532648,58.22261464,54.833,62.609,70.20570732,68.36097561,74.08487805,47.508,58.03,40.878,57.01147433,66.06627896,45.955,58.904,53.602,58.147,59.56889813,39.042,51.58403136,63.621,47.52899849,44.09532648,64.565,50.001,51.678,46.399,49.005,70.24756098,58.55691406,68.588,70.50731707,62.097,63.36,64.427,68.74821951,60.383,53.915,57.99566817,59.589,35.78,52.106,49.7,56.656
