rank,id
1,10.101.1.35
2,10.101.3.22
3,10.101.4.32
4,10.101.1.20
5,10.101.4.35
6,10.101.4.24
7,10.101.5.5
8,10.101.3.6
9,10.101.3.44
10,10.101.4.17
11,10.101.9.42
12,10.101.7.19
13,10.101.3.46
14,10.101.2.2
15,10.101.4.38
16,10.101.2.45
17,10.101.2.31
18,10.101.5.11
19,10.101.4.20
20,10.101.5.9
21,10.101.4.47
22,10.101.2.18
23,10.101.7.11
24,10.101.9.22
25,10.101.1.29
26,10.101.9.43
27,10.101.7.54
28,10.101.4.11
29,10.101.5.8
30,10.101.9.57
31,10.101.9.13
32,10.101.7.46
33,10.101.7.34
34,10.101.8.35
35,10.101.2.32
36,10.101.3.28
37,10.101.4.36
38,10.101.7.31
39,10.101.4.3
40,10.101.9.29
41,10.101.2.50
42,10.101.1.46
43,10.101.4.5
44,10.101.6.11
45,10.101.8.58
46,10.101.6.1
47,10.101.3.25
48,10.101.3.47
49,10.101.6.14
50,10.101.3.9
51,10.101.9.30
52,10.101.9.15
53,10.101.7.16
54,10.101.1.43
55,10.101.1.13
56,10.101.8.12
57,10.101.4.4
58,10.101.7.43
59,10.101.7.33
60,10.101.2.44
61,10.101.8.44
62,10.101.5.14
63,10.101.8.17
64,10.101.3.31
65,10.101.1.31
66,10.101.4.37
67,10.101.1.12
68,10.101.2.7
69,10.101.1.11
70,10.101.6.13
71,10.101.7.23
72,10.101.8.29
73,10.101.10.42
74,10.101.7.48
75,10.101.4.31
76,10.101.8.21
77,10.101.7.12
78,10.101.2.15
79,10.101.5.21
80,10.101.10.43
81,10.101.6.16
82,10.101.9.17
83,10.101.9.6
84,10.101.9.1
85,10.101.1.1
86,10.101.8.5
87,10.101.1.37
88,10.101.9.59
89,10.101.4.48
90,10.101.1.45
91,10.101.7.20
92,10.101.2.41
93,10.101.2.28
94,10.101.1.36
95,10.101.2.10
96,10.101.2.16
97,10.101.7.30
98,10.101.4.30
99,10.101.7.49
100,10.101.4.42
101,10.101.2.26
102,10.101.8.36
103,10.101.8.15
104,10.101.5.20
105,10.101.2.58
106,10.101.3.51
107,10.101.9.35
108,10.101.1.26
109,10.101.6.6
110,10.101.8.56
111,10.101.1.34
112,10.101.9.18
113,10.101.1.53
114,10.101.5.12
115,10.101.2.27
116,10.101.2.36
117,10.101.8.41
118,10.101.7.17
119,10.101.4.27
120,10.101.8.50
121,10.101.3.20
122,10.101.8.27
123,10.101.1.10
124,10.101.7.2
125,10.101.1.44
126,10.101.3.50
127,10.101.1.27
128,10.101.7.24
129,10.101.9.28
130,10.101.2.52
131,10.101.2.37
132,10.101.8.40
133,10.101.8.16
134,10.101.8.8
135,10.101.4.25
136,10.101.2.33
137,10.101.4.15
138,10.101.2.54
139,10.101.3.43
140,10.101.8.9
141,10.101.9.55
142,10.101.9.25
143,10.101.3.14
144,10.101.5.16
145,10.101.2.21
146,10.101.9.27
147,10.101.2.23
148,10.101.9.10
149,10.101.8.43
150,10.101.3.45
151,10.101.8.28
152,10.101.9.8
153,10.101.1.51
154,10.101.9.44
155,10.101.1.3
156,10.101.10.32
157,10.101.1.52
158,10.101.4.39
159,10.101.7.52
160,10.101.9.36
161,10.101.9.39
162,10.101.7.7
163,10.101.1.60
164,10.101.3.37
165,10.101.2.11
166,10.101.8.22
167,10.101.3.52
168,10.101.6.3
169,10.101.10.35
170,10.101.7.55
171,10.101.7.42
172,10.101.4.12
173,10.101.7.27
174,10.101.8.47
175,10.101.8.59
176,10.101.7.32
177,10.101.3.23
178,10.101.4.8
179,10.101.8.49
180,10.101.9.49
181,10.101.6.17
182,10.101.9.60
183,10.101.3.29
184,10.101.7.5
185,10.101.8.51
186,10.101.8.14
187,10.101.9.34
188,10.101.3.26
189,10.101.8.32
190,10.101.9.51
191,10.101.3.12
192,10.101.2.4
193,10.101.2.59
