rank,id
1,Iceland
2,Japan
3,Denmark
4,Singapore
5,Spain
6,"Hong Kong SAR, China"
7,Finland
8,Sweden
9,Norway
10,Switzerland
11,Belgium
12,United States
13,Austria
14,France
15,Netherlands
16,New Zealand
17,United Kingdom
18,Australia
19,Ireland
20,Canada
