country,rank,lumpiness,entropy,ACF1,lshift,vchange,cpoints,fspots,trend,linearity,curvature,spikiness,KLscore,change.idx
New Zealand,16,0.000192474667486,0.432292357807513,0.959365303395753,0.606152276977134,0.0503314550571615,1,8,0.993639139158476,-7.03643861998761,-1.2153695018922,3.43000829122327e-08,0.281982489322775,28
Norway,9,0.0003259464776766,0.454101222923412,0.955025034566027,0.748748156106773,0.0668410565613379,1,9,0.99340591207859,-6.87613845790522,-2.08903980207046,1.67255702546951e-08,0.413161372145852,33
Singapore,4,4.40108722906178e-05,0.525800916057574,0.950715024681157,0.483688604479815,0.0156918407662429,1,9,0.999907045106405,-7.24122272713087,0.646148474903231,1.0338811072449899e-11,0.68813065069751,12
Switzerland,10,8.59551795911455e-05,0.562288855320634,0.946586461518544,0.60053711697305,0.0443639697549714,1,9,0.994584206946839,-7.22189735864987,-0.610129242126964,2.42154087320655e-08,0.49103074372598,12
Sweden,8,0.0004235784809855,0.416689138316259,0.958896800356883,0.703977811130938,0.0538685119385317,1,14,0.997567568626027,-6.84404019254023,-1.8937240553219,2.86292445787898e-09,0.538202651149149,32
Australia,18,0.00010781100299,0.44630964055371,0.964563831771906,0.603313984928263,0.0406021668579266,1,12,0.998443843155371,-7.15978051593313,0.108867376952691,1.90957856903303e-09,0.251328306295777,23
Austria,13,0.0005511833463813,0.482324878658429,0.948591325478476,0.712907849998833,0.0891834909923855,1,12,0.996811392764281,-7.00963753463493,-1.58170710128648,5.54681463930275e-09,0.337790716469431,25
Iceland,1,0.0036764444820592,0.482467746778314,0.925488853143862,0.763222471547555,0.155311280176175,3,4,0.940681843422327,-6.94106012342408,-0.230024259157381,2.78188692353568e-06,0.790774074956831,24
Ireland,19,0.0002490322678537,0.466821896047222,0.952267324436317,0.716385950793998,0.0613654949528747,1,6,0.991906358559176,-6.98713816075183,-1.46177092368269,3.9996110004741e-08,0.313013114070381,26
"Hong Kong SAR, China",6,0.0001394577270946,0.531438532147214,0.946436754179804,0.539248312632112,0.0206241464391874,1,12,0.999853581102628,-7.1904242497222,1.06929326548303,1.77388517451337e-11,0.955590904808045,12
Netherlands,15,0.0002457841468699,0.469366280147981,0.958678259754637,0.535560784651648,0.0450421336255161,1,12,0.997327896323138,-7.07515562394404,-1.24472605071748,4.744106860891731e-09,0.195581332155212,27
Denmark,3,0.0012963048239408,0.470088953576884,0.927954017314616,0.822588505045478,0.0746041623816056,1,17,0.988687495290663,-6.00823826011124,-3.92402403593544,6.06191894692327e-08,0.868976603143782,37
Canada,20,0.0004072934320925,0.455852120522119,0.961133499905175,0.705954351033107,0.0584507303980714,1,16,0.999069962156762,-7.15902169876999,-0.201859466405512,4.70082064621014e-10,0.239901145481855,20
United States,12,0.0010514710296311,0.46953735791116,0.96010148855871,0.743855190156387,0.0885258875630248,1,10,0.995423839679498,-7.11773042515553,0.350105466391329,1.22523040837909e-08,0.405955583394622,12
United Kingdom,17,0.0001777834777966,0.491383002293809,0.955562571883188,0.612003455009158,0.0410706294272758,1,7,0.997443076783418,-7.2073900590135,-0.261462245429148,6.725515290406751e-09,0.256937816860411,20
Finland,7,0.0004003367137919,0.49054716704866,0.953315781555736,0.720805433457059,0.0717544800963258,3,13,0.995717642483666,-7.1687091164715,0.0459888047907329,8.53557577617352e-09,0.320683269171965,18
Belgium,11,0.0002386631785077,0.532941443367707,0.94223579497488,0.609419445341029,0.0437784495293674,1,11,0.996734586295916,-7.22221424284454,-0.090444167130864,6.511170956933951e-09,0.299381592979235,12
Japan,2,0.0005889868923692,0.597866469911326,0.928873134386904,0.695065367342742,0.0504711745776719,1,12,0.998876557475231,-7.01334121581026,1.8213240808625,1.103732761866e-09,2.36376504525931,12
France,14,9.73662404775508e-05,0.508557529957136,0.947997596642775,0.531167413894384,0.0300286317720703,1,10,0.996179685685251,-7.16706296609245,-1.05584130875683,1.46438129878506e-08,0.198321167656246,27
Spain,5,0.000410033501733,0.609764983555925,0.923628016301479,0.753918410969517,0.077932308115333,1,6,0.993651434230021,-7.02266707872712,-1.25444722972801,4.57208693130213e-08,0.693621172905713,37
