step,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,Virgin Islands
10,7446.2,1067.7,8788.7,4462.5,56940.6,8722.5,6551.4,1604.7,2358.0,27207.6,15409.6,2090.7,2174.1,23396.7,11573.5,5686.4,5174.5,6985.7,7354.6,2339.8,9505.3,13079.3,18052.9,10389.2,4373.1,10623.7,1490.4,3521.9,4107.0,2423.3,15455.8,2844.1,33223.5,15126.5,1238.2,21698.4,5772.3,6273.7,22116.1,1850.3,7135.9,1439.9,10552.8,36789.9,4188.7,1158.3,13656.5,10620.0,2693.5,10955.8,908.5,3724.2,135.3
11,7442.7,1073.7,8824.0,4446.9,57124.6,8745.2,6559.0,1609.0,2372.1,27262.5,15431.7,2095.2,2175.0,23353.2,11535.4,5666.1,5164.5,6988.9,7373.9,2342.7,9543.2,13111.3,18017.8,10401.9,4363.4,10580.7,1485.4,3513.1,4122.4,2428.8,15502.4,2851.4,33254.1,15103.4,1240.3,21674.8,5771.3,6273.7,22121.5,1855.0,7131.5,1440.5,10542.0,36891.9,4200.9,1165.1,13665.9,10652.3,2691.9,10913.2,914.8,3713.1,135.5
12,7400.8,1062.6,8781.1,4452.4,57265.0,8742.6,6536.5,1603.2,2331.6,27191.2,15470.8,2083.8,2183.5,23351.0,11484.0,5670.5,5171.8,6972.0,7376.0,2349.5,9484.5,13153.3,17765.5,10401.6,4343.9,10581.2,1485.2,3531.7,4142.9,2441.3,15409.0,2848.8,33242.9,15195.4,1247.3,21645.5,5762.8,6263.4,22147.9,1852.5,7079.7,1449.0,10522.8,36910.1,4192.1,1169.1,13557.1,10602.7,2689.0,10930.4,919.0,3758.1,142.1
13,7407.9,1073.9,8807.5,4455.9,57230.7,8739.2,6512.8,1609.0,2318.2,27251.3,15457.9,2096.5,2187.4,23370.7,11491.1,5661.9,5170.7,6977.3,7377.2,2350.7,9496.8,13163.7,17797.1,10415.2,4333.2,10587.9,1487.1,3527.0,4160.7,2444.5,15425.1,2856.1,33200.8,15182.0,1248.5,21620.5,5782.3,6251.6,22157.8,1858.3,7064.5,1451.5,10504.9,36950.1,4192.2,1168.5,13563.8,10581.6,2692.1,10946.6,922.3,3764.8,141.7
14,7393.7,1073.4,8830.0,4454.2,57267.1,8739.9,6502.0,1619.6,2322.2,27289.1,15457.9,2099.5,2194.0,23355.6,11486.4,5652.0,5183.0,6934.8,7383.7,2349.1,9495.4,13124.9,17773.5,10414.6,4318.5,10592.3,1489.3,3529.4,4163.2,2439.3,15414.9,2863.9,33161.3,15150.9,1251.7,21594.0,5795.5,6232.4,22145.9,1854.3,7045.3,1450.6,10486.9,36972.2,4200.1,1165.8,13576.9,10579.4,2696.0,10916.8,925.2,3764.3,141.4
15,7391.8,1081.9,8809.2,4455.3,57115.6,8707.5,6492.4,1606.5,2318.8,27284.4,15355.8,2093.7,2192.3,23314.4,11468.7,5650.2,5176.5,6929.2,7369.2,2354.0,9480.5,13079.2,17748.4,10385.3,4318.0,10581.5,1485.7,3532.9,4156.2,2430.4,15450.2,2864.1,33026.0,15091.0,1249.4,21537.2,5806.7,6206.9,22065.5,1849.1,7026.1,1446.4,10442.7,36941.9,4189.1,1168.6,13542.3,10557.9,2689.4,10897.2,926.8,3756.3,141.6
16,7375.2,1081.2,8788.5,4445.2,57009.3,8693.5,6503.3,1604.1,2326.8,27295.2,15320.9,2089.5,2189.4,23289.3,11420.1,5651.5,5173.7,6919.5,7367.8,2350.6,9492.7,13057.5,17697.4,10370.4,4307.8,10576.4,1489.8,3538.2,4156.6,2432.5,15455.4,2867.9,33034.6,15056.3,1249.9,21476.2,5802.9,6192.1,22036.3,1843.6,7006.0,1448.3,10413.7,36922.6,4191.3,1164.8,13540.3,10546.8,2682.7,10876.7,929.7,3745.6,143.0
17,7360.0,1081.3,8786.2,4434.3,56954.4,8686.1,6499.0,1606.1,2329.2,27255.0,15294.7,2098.1,2188.3,23264.6,11411.1,5640.1,5163.8,6916.8,7361.0,2350.8,9504.6,13032.2,17680.8,10353.1,4298.1,10582.0,1489.5,3542.7,4160.7,2425.9,15453.8,2870.1,33002.5,15008.9,1249.7,21437.9,5810.5,6186.0,22039.3,1840.2,6982.3,1445.5,10389.8,36920.7,4184.6,1166.9,13538.3,10522.3,2682.2,10840.7,929.3,3771.6,143.4
18,7339.3,1089.0,8786.4,4430.3,56687.0,8655.0,6502.7,1595.0,2333.3,27296.4,15265.3,2095.9,2184.4,23133.3,11334.9,5628.0,5169.7,6892.5,7340.6,2341.9,9479.9,12963.2,17594.7,10335.9,4296.8,10499.3,1486.3,3534.0,4159.9,2414.1,15374.9,2868.2,32862.6,14983.7,1245.0,21358.0,5781.7,6152.8,21971.0,1840.2,6987.5,1444.2,10343.7,36812.1,4179.8,1167.1,13539.6,10495.4,2678.1,10826.0,931.6,3731.3,141.7
19,7343.5,1092.2,8779.6,4431.1,56676.8,8635.9,6490.2,1593.4,2351.4,27379.1,15252.7,2097.8,2188.6,23083.6,11336.2,5629.7,5159.8,6875.7,7349.1,2339.6,9491.9,12943.5,17566.8,10313.4,4287.3,10528.1,1485.3,3543.4,4158.2,2406.9,15357.2,2869.3,32776.6,14942.4,1242.0,21308.6,5776.8,6131.5,21974.5,1844.4,6978.4,1442.0,10332.3,36818.9,4178.0,1163.2,13525.2,10483.1,2680.7,10809.6,936.7,3715.6,141.6
20,7336.8,1088.8,8775.9,4415.4,56515.7,8597.0,6484.0,1585.7,2338.8,27292.5,15216.5,2097.2,2180.7,23012.3,11341.7,5614.5,5154.2,6851.5,7348.1,2336.5,9471.4,12891.8,17505.5,10308.4,4278.6,10491.7,1482.7,3527.7,4158.5,2404.6,15366.3,2868.7,32684.1,14877.6,1249.2,21238.6,5773.3,6116.6,21941.1,1837.4,6959.3,1440.0,10307.5,36737.7,4172.9,1161.7,13486.9,10454.8,2677.1,10786.1,931.6,3718.6,141.2
21,7309.9,1089.4,8738.1,4413.5,56387.8,8553.8,6480.7,1588.1,2342.9,27215.1,15178.0,2060.9,2170.7,22902.9,11298.2,5580.6,5149.7,6838.4,7320.7,2332.3,9488.9,12836.6,17398.3,10297.0,4276.0,10456.7,1485.9,3521.8,4092.6,2399.7,15398.7,2860.6,32334.1,14836.1,1247.3,21202.6,5740.6,6097.0,21864.7,1836.1,6911.1,1439.1,10267.2,36578.6,4155.6,1160.6,13426.3,10420.5,2681.7,10747.4,934.7,3697.5,138.8
22,7301.6,1083.7,8707.9,4405.7,56198.4,8512.6,6468.0,1586.6,2337.2,27149.7,15132.2,2048.1,2164.4,22850.1,11263.4,5571.2,5138.4,6822.6,7308.8,2326.9,9490.3,12791.3,17348.4,10283.6,4275.4,10450.3,1487.6,3529.8,4087.5,2393.2,15383.8,2863.9,32306.3,14790.1,1247.2,21151.8,5750.9,6074.8,21847.2,1832.3,6912.4,1438.7,10245.8,36493.7,4144.8,1159.4,13408.4,10371.0,2679.9,10720.4,939.4,3686.6,137.5
23,7291.9,1080.3,8692.9,4394.5,56117.8,8482.1,6462.1,1584.0,2336.9,27119.2,15105.1,2046.8,2161.7,22829.0,11236.9,5566.3,5131.7,6805.4,7294.3,2320.5,9504.6,12769.8,17325.5,10260.7,4265.2,10440.3,1486.4,3521.4,4083.3,2389.5,15368.3,2862.8,32267.4,14744.6,1244.5,21098.6,5740.0,6067.2,21824.2,1837.7,6889.4,1436.3,10231.5,36415.2,4128.6,1152.8,13390.5,10342.1,2678.4,10684.4,938.9,3707.9,137.3
24,7251.7,1087.6,8725.1,4390.3,56119.6,8474.3,6459.4,1574.1,2350.6,27634.5,14979.6,2058.3,2165.8,22814.3,11222.4,5574.8,5129.0,6830.6,7272.0,2328.0,9502.2,12763.1,17275.4,10249.4,4275.1,10456.5,1493.8,3497.0,4076.3,2389.1,15423.5,2874.2,32277.2,14769.5,1245.9,21074.3,5711.9,6068.5,21862.4,1843.1,6868.0,1434.1,10258.4,36396.6,4152.5,1157.9,13385.7,10335.2,2674.3,10711.3,938.1,3704.6,139.0
25,7257.1,1098.1,8708.1,4392.2,56119.2,8471.9,6455.0,1579.6,2351.7,27646.0,14987.9,2062.4,2162.9,22763.5,11229.6,5565.7,5113.1,6828.4,7256.5,2328.4,9517.0,12736.3,17297.0,10242.2,4269.2,10452.3,1496.6,3500.3,4080.9,2386.8,15440.0,2872.6,32281.1,14764.8,1246.3,21058.2,5713.0,6068.3,21868.9,1842.7,6867.3,1433.6,10246.6,36363.6,4168.8,1154.6,13399.5,10303.6,2682.0,10702.1,938.3,3710.8,140.5
26,7255.9,1099.9,8731.8,4399.0,56237.7,8463.9,6455.0,1572.5,2362.5,27684.8,14995.7,2067.3,2159.9,22718.3,11211.8,5550.4,5114.1,6823.1,7248.4,2333.0,9528.0,12737.1,17291.8,10229.0,4272.2,10441.1,1490.5,3499.6,4101.4,2390.1,15441.3,2879.6,32277.6,14774.1,1240.1,21038.0,5710.2,6064.7,21870.9,1849.5,6873.1,1432.7,10239.0,36387.5,4133.2,1155.1,13398.0,10280.9,2680.0,10696.8,937.2,3702.4,138.8
