Location,Sample ID,Mg Concentration,Al Concentration,Si Concentration,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,W Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,LE Concentration,RI Concentration,DI Concentration,SR Concentration
L12,50-60 cm,0,12655,56969,0,0,3814,214581,1248,0,55,78,10433,0,15,7,19,4,0,34,174,9,174,5,0,0,0,0,0,0,7,0,7,0,0,0,701544,5.097065075146676,2.9791405698566074,7.172413793103448
L12,60-70 cm,0,14782,66248,0,0,4339,199157,1297,0,57,82,11474,0,17,5,20,5,0,37,202,12,176,3,0,0,0,0,0,0,8,0,7,0,0,0,704084,5.074383723418226,3.0479717257718875,7.369318181818182
L12,70-80 cm,0,14034,63371,0,0,4419,209366,1349,0,54,79,11121,0,11,4,19,5,0,36,229,8,158,5,0,0,11,0,0,0,11,0,7,0,0,0,697652,5.1127295447763785,3.035137191605928,8.537974683544304
L12,80-90 cm,0,15580,62264,0,0,4530,200101,1383,0,77,67,12405,0,14,7,23,5,0,39,290,11,165,5,0,0,10,0,0,890,10,0,8,0,0,0,704296,4.52494490592117,2.692012133208616,8.381818181818181
L12,90-100 cm,0,15257,66197,0,0,4869,190570,1416,0,78,69,12739,0,16,8,25,5,0,41,337,10,161,5,0,0,8,0,0,1442,9,0,8,0,5,0,708965,4.912616848863775,2.866558454924894,8.79503105590062
L13,0-10 cm,2781,50200,200919,0,0,12250,5396,3036,47,58,254,22940,0,19,12,44,9,0,68,55,17,338,8,0,0,0,0,0,251,5,0,12,10,0,0,705277,4.531698651402434,3.238790747613071,8.982248520710058
L13,10-20 cm,0,53673,205974,0,0,11905,4450,2765,38,57,229,21460,0,20,15,41,7,0,59,47,16,309,8,0,0,0,0,0,250,0,0,12,8,0,0,702404,4.345104885719898,3.2232758640829395,8.94822006472492
L13,20-30 cm,0,52403,203987,0,0,10772,4013,2657,41,54,183,20394,0,19,14,38,6,0,56,43,14,333,8,0,0,0,0,0,302,4,0,11,8,0,0,708199,4.407477177201033,3.2909746843475873,7.978978978978979
L13,30-40 cm,2948,48188,188568,0,0,9641,18132,2399,0,61,148,19656,0,21,12,33,7,0,56,44,14,315,8,0,0,0,0,0,0,4,0,8,10,0,0,713160,4.4307048932457835,3.2756453575931435,7.6158730158730155
L13,40-50 cm,0,32371,137388,0,0,6786,73442,2035,42,58,133,19081,0,20,11,29,8,0,49,66,15,239,7,0,0,0,0,0,0,4,0,10,11,0,0,731531,4.805476052147232,3.2003524231235327,8.514644351464435
L13,50-60 cm,0,18342,88457,0,0,4484,148169,1535,50,48,105,12857,0,15,9,23,5,0,39,104,10,197,5,0,0,8,0,0,0,6,0,8,0,0,0,727774,5.460460235777251,3.4036097094142863,7.791878172588833
L13,60-70 cm,0,14913,76521,0,0,4163,180506,1345,0,43,80,11138,0,14,0,18,5,0,35,113,8,198,5,0,0,8,0,0,0,8,0,7,0,0,0,712824,5.809775498368699,3.5322234823648877,6.792929292929293
L13,70-80 cm,0,16908,81137,0,0,4392,166756,1351,0,68,92,11560,0,17,5,21,6,0,36,112,9,195,4,0,0,9,0,0,0,7,0,7,0,0,0,719339,5.433384485631124,3.421716093732967,6.9282051282051285
L13,80-90 cm,0,18363,89149,0,0,5116,159084,1488,0,74,87,12784,0,20,9,22,5,0,40,121,9,209,5,0,0,0,0,0,0,8,0,7,0,0,0,715645,5.496884015386686,3.4390882747817373,7.119617224880383
L13,90-100 cm,0,18570,81325,0,0,4754,154316,1701,42,72,119,13753,0,15,5,22,6,0,40,129,10,220,6,0,0,0,12,0,0,8,0,8,0,0,0,727278,4.95856373561498,3.0211215008536367,7.7318181818181815
