Location,Sample ID,Mg Concentration,Al Concentration,Si Concentration,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,W Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,LE Concentration,RI Concentration,DI Concentration,SR Concentration
L3,50-60 cm,0,55526,195142,0,0,12402,6000,3200,44,72,222,26667,0,22,16,52,7,0,80,68,20,347,10,0,0,0,0,0,373,0,0,13,10,0,0,704358,3.979221318480752,2.81355602402375,9.221902017291066
L3,60-70 cm,0,52425,190934,0,0,11944,14489,3231,0,65,260,25816,0,21,17,50,7,0,76,75,20,328,9,0,0,0,0,0,265,4,0,13,10,0,0,704445,4.123714249798997,2.8896802000453836,9.850609756097562
L3,70-80 cm,0,54603,189044,0,0,12278,18418,3233,40,54,239,25569,0,18,18,48,8,0,73,73,19,342,10,0,0,0,0,0,339,4,0,12,0,0,0,700015,3.9200366305141,2.786840514524523,9.453216374269006
L3,80-90 cm,3362,52809,191280,0,0,11658,12917,3072,42,57,212,24867,0,22,17,46,7,0,74,74,17,311,10,0,0,0,0,0,372,6,0,12,0,0,0,703093,4.101147139894187,2.913395277016222,9.877813504823152
L3,90-100 cm,0,51946,195512,0,0,11712,14178,3176,50,75,205,24081,0,22,19,44,8,0,71,75,18,382,9,0,0,0,0,0,325,5,0,11,0,0,0,702281,4.261524983303139,3.0335935608199227,8.31413612565445
L4,0-10 cm,0,48869,215090,0,0,12712,3329,2785,0,53,263,20846,0,17,16,44,7,0,64,55,17,360,8,0,0,0,0,0,345,0,0,12,11,0,0,698736,4.983454518384065,3.6293252193119647,7.736111111111111
L4,10-20 cm,0,52799,212284,0,0,13661,3525,3592,0,57,246,22625,0,20,17,42,7,0,68,58,20,448,9,0,0,0,0,0,458,4,0,13,9,0,0,693985,4.552346353156442,3.288485773170909,8.017857142857142
L4,20-30 cm,3345,54104,205055,0,0,11737,3553,3044,43,47,229,24378,0,23,16,44,7,0,70,53,17,338,9,0,0,0,0,0,401,0,0,12,7,0,0,697717,4.291258935040355,3.0858331214408237,9.005917159763314
L4,30-40 cm,0,55135,194118,0,0,11926,3739,2928,0,57,244,26054,0,22,15,47,7,0,74,55,19,304,9,0,0,0,0,0,393,4,0,12,7,0,0,709374,3.9864118107602518,2.8383707768782296,9.631578947368421
L4,40-50 cm,3562,55020,198829,0,0,12000,3604,3011,43,75,276,25265,0,24,17,45,7,0,73,57,19,327,9,0,0,0,0,0,384,4,0,11,11,0,0,701738,4.091691424199575,2.93143490626583,9.207951070336392
L4,50-60 cm,0,57466,196559,0,0,12650,3820,3275,47,61,250,24410,0,25,16,44,7,0,72,56,24,345,9,0,0,0,0,0,353,5,0,12,9,0,0,704742,3.87280559566435,2.8232597909157806,9.492753623188406
L4,60-70 cm,3835,56496,201307,0,0,13325,4131,3120,39,40,290,24635,0,23,18,43,7,0,73,59,20,339,9,0,0,0,0,0,266,0,0,12,0,0,0,696207,4.034455301595014,2.926225643240923,9.20353982300885
L4,70-80 cm,4704,54201,197304,0,0,13220,5743,3139,54,54,287,24814,0,22,19,44,8,0,74,63,21,357,10,0,0,0,0,0,355,0,0,12,0,0,0,699824,4.12166150687501,2.9491673793071396,8.792717086834735
L4,80-90 cm,4589,44466,176028,0,0,11118,39957,2996,43,61,273,22570,0,24,15,39,7,0,69,81,21,302,10,0,0,0,0,0,309,6,0,12,0,0,0,700944,4.482263899385562,3.104961911938936,9.920529801324504
L4,90-100 cm,0,19783,88023,0,0,5642,159075,1701,0,87,389,14369,0,21,9,24,6,0,44,153,13,173,7,0,0,12,0,0,0,8,0,9,0,0,0,712974,5.037879166857542,3.099204409269306,9.832369942196532
L5,0-10 cm,0,50253,220029,0,0,11787,3495,2559,52,54,226,21870,0,21,12,40,7,0,67,53,17,331,10,0,0,0,9,0,310,4,0,12,12,0,0,692587,4.957487904516393,3.607334875448921,7.731117824773414
L5,10-20 cm,0,56341,207911,0,0,11849,2792,3156,0,67,226,24910,0,20,14,45,8,0,70,54,17,325,8,0,0,0,0,0,292,0,0,12,0,0,0,696230,4.178271416247935,3.018932459832346,9.71076923076923
L5,20-30 cm,0,57194,194091,0,0,10799,2633,2754,0,75,197,25333,0,22,13,45,7,0,67,48,16,284,8,0,0,0,0,0,350,0,0,11,11,0,0,710464,3.842365358911,2.7890010512645054,9.69718309859155
L5,30-40 cm,0,60723,192336,0,0,11469,2825,2840,46,66,191,25933,0,26,11,43,7,0,70,49,16,310,8,0,0,0,0,0,248,0,0,12,11,0,0,707283,3.586336959164705,2.6283871449555343,9.161290322580646
L5,40-50 cm,0,61939,196397,0,0,11852,2812,2683,46,64,154,26055,0,22,14,45,8,0,71,49,15,305,9,0,0,0,0,0,253,0,0,12,10,0,0,701730,3.590164860074963,2.6465214525481313,8.79672131147541
L5,50-60 cm,3033,63288,195626,0,0,11582,2845,2798,37,51,161,25398,0,21,13,43,8,0,68,47,15,350,7,0,0,0,0,0,242,0,0,10,0,0,0,698783,3.4998460008128465,2.6065559294943013,7.994285714285715
L5,60-70 cm,3541,60134,201677,0,0,10943,2737,2458,37,61,144,23552,0,23,10,39,7,0,63,46,14,310,8,0,0,0,0,0,274,0,0,11,0,0,0,698019,3.79734460657223,2.849871036668802,7.929032258064516
L5,70-80 cm,3887,62154,200157,0,0,12513,3219,3319,53,69,161,25997,0,21,12,43,8,0,65,50,16,396,8,0,0,0,0,0,345,0,0,12,9,0,0,692022,3.6462415132504113,2.6738712574485923,8.381313131313131
L5,80-90 cm,0,56384,188882,0,0,10504,2797,2659,59,44,190,23235,0,23,13,40,7,0,60,46,14,319,8,0,0,0,0,0,306,4,0,11,0,0,0,718445,3.7929613905309494,2.802403966272098,8.335423197492164
L5,90-100 cm,4111,57229,198369,0,0,10402,2741,2738,55,49,138,23632,0,22,15,42,7,0,60,46,16,306,7,0,0,0,0,0,269,0,0,9,8,0,0,703850,3.9246540299100503,2.897030346321012,8.947712418300654
L6,0-10 cm,0,40956,242479,0,0,10904,2101,2248,0,46,168,13512,0,12,9,26,4,0,47,41,11,327,7,0,0,0,0,0,259,5,0,9,0,0,0,689195,6.703480179749122,5.164011916233914,6.874617737003058
L6,10-20 cm,0,50794,218949,0,0,12502,2566,2872,41,46,183,17805,0,16,12,37,5,0,56,48,14,346,8,0,0,0,0,0,311,5,0,10,10,0,0,696474,4.880611995850555,3.710991829538005,8.300578034682081
L6,20-30 cm,3032,49894,215159,0,0,11312,2455,2830,0,64,198,19597,0,14,13,34,6,0,57,46,16,326,8,0,0,0,0,0,210,0,0,10,9,0,0,698134,4.882642489300749,3.6240289464650486,8.680981595092025
L6,30-40 cm,0,55571,203589,0,0,11350,2520,2671,50,57,238,24310,0,20,15,45,9,0,67,47,14,270,8,0,0,0,0,0,325,4,0,11,8,0,0,703043,4.1481058386891805,3.0201716105665812,9.892592592592592
L6,40-50 cm,0,60756,184738,0,0,11584,2616,2758,42,56,339,29070,0,26,15,51,8,0,76,49,16,254,8,2,0,0,0,0,378,5,0,13,0,0,0,712208,3.442792084624205,2.4553777809429445,10.858267716535433
L6,50-60 cm,0,62161,186937,0,0,12508,2755,3164,42,69,351,31248,0,27,21,57,10,0,87,58,20,277,10,0,0,0,0,0,362,0,0,13,10,0,0,705259,3.4050305124252933,2.3889337930012333,11.422382671480145
L6,60-70 cm,0,59069,208052,0,0,11929,2522,2686,41,52,250,23389,0,17,11,42,7,0,68,48,15,262,8,0,0,0,0,0,258,4,0,12,0,0,0,695338,3.9880078827864747,2.9766217213957473,10.251908396946565
L6,70-80 cm,0,55526,198793,0,0,10410,2288,2691,0,58,230,21045,0,16,13,36,6,0,58,42,14,239,8,2,0,0,0,0,237,0,0,10,9,0,0,711943,4.053670371138679,3.048805586428678,11.259414225941423
L6,80-90 cm,0,53653,212724,0,0,10563,2186,2482,36,48,206,18830,0,17,13,33,5,0,53,39,14,311,6,0,0,0,8,0,249,0,0,10,12,0,0,701788,4.489171653196023,3.436240018865079,7.980707395498392
L6,90-100 cm,0,52567,211044,0,0,9944,2250,2357,42,41,263,19750,0,21,13,36,6,0,53,42,13,229,7,0,0,0,0,0,232,0,0,9,9,0,0,704516,4.545729080353175,3.4336060265807964,10.292576419213974
L7,0-10 cm,0,59440,194649,190,0,16538,4669,3741,66,77,494,40906,71,36,27,98,13,0,118,95,32,266,15,0,0,0,0,0,514,6,0,25,13,0,0,685026,3.70780689565238,2.3521798260238667,14.063909774436091
L7,10-20 cm,3260,58379,189262,0,0,15708,4377,3877,70,83,550,39210,75,39,26,96,10,0,117,102,31,284,16,0,0,0,12,0,569,4,2,23,15,0,0,690636,3.670713637317514,2.342695184875535,13.651408450704226
L7,20-30 cm,3006,56897,192526,0,0,15835,4513,3863,51,76,359,37812,63,29,26,94,8,0,113,100,30,292,14,0,0,0,0,0,412,5,0,21,10,0,0,690433,3.831278755751436,2.4514976095069163,13.229452054794521
L7,30-40 cm,0,56408,208340,0,0,16349,4467,3768,59,74,266,36243,82,32,24,91,8,0,110,100,30,270,15,0,0,0,0,0,436,6,0,21,0,6,0,679112,4.1819197043190455,2.7064354123344803,13.955555555555556
L7,40-50 cm,0,56096,206457,0,0,16554,4561,3830,57,78,266,36020,52,29,22,88,8,0,110,101,30,270,14,0,0,0,0,0,532,6,2,19,9,0,0,681066,4.167172223457455,2.6951468202409323,14.185185185185185
L7,50-60 cm,0,55389,205639,0,0,16239,4445,3786,42,79,228,34797,55,27,24,87,7,0,108,100,29,288,15,0,0,0,0,0,470,5,2,19,10,0,0,684177,4.203641689803028,2.7372121088533965,13.145833333333334
L7,60-70 cm,0,55382,209285,0,0,16263,4461,3841,45,75,215,35082,78,29,25,86,8,0,109,101,30,301,13,0,0,0,0,0,426,6,0,20,0,0,0,680235,4.278713415660398,2.7773445959311953,12.76079734219269
L7,70-80 cm,0,55540,204754,0,0,16274,4425,3820,53,105,207,35710,67,28,28,91,7,0,110,104,30,280,14,0,0,0,0,0,373,6,0,19,8,0,0,684177,4.174171139196644,2.6977800915158747,13.642857142857142
L7,80-90 cm,0,55991,199435,0,0,15915,4444,3843,73,73,196,36336,61,28,27,92,7,0,110,105,30,275,15,0,0,0,0,0,467,4,0,18,9,0,0,688779,4.032987585057743,2.5991167026687036,13.974545454545455
L7,90-100 cm,0,56956,204075,39,0,16403,4592,3817,59,83,722,36731,52,38,24,91,7,0,111,107,30,272,15,0,0,0,0,0,584,6,0,23,0,4,0,681560,4.056897690122017,2.6221341865320853,14.033088235294118
L8,0-10 cm,0,48014,204662,0,0,12199,3411,2731,0,62,397,22887,0,21,16,50,7,0,67,55,17,271,9,2,0,0,0,0,343,4,0,13,9,0,0,708749,4.826286036044361,3.4206547706344557,10.07749077490775
L8,10-20 cm,0,50822,208455,0,0,13000,3890,3027,0,73,306,23186,0,22,16,48,7,0,72,60,18,298,9,0,0,0,0,0,402,4,0,14,0,0,0,700321,4.64412923245176,3.322419726791398,10.157718120805368
L8,20-30 cm,2834,56107,200219,0,0,13452,4462,3125,45,63,264,24794,0,20,14,47,7,0,70,57,18,303,9,0,0,0,0,0,356,0,0,12,0,0,0,698049,4.040470792258277,2.9203182648489427,10.313531353135314
L8,30-40 cm,0,54355,198530,0,0,11782,4183,2837,0,58,218,26127,0,22,14,49,7,0,73,54,16,274,9,0,0,0,0,0,335,4,0,11,8,0,0,705592,4.1355223680679,2.933381711561029,10.354014598540147
L8,40-50 cm,0,55449,192055,0,0,11879,4259,2802,44,57,187,28111,0,20,14,55,8,0,79,54,16,275,9,0,0,0,0,0,378,5,0,11,8,0,0,709125,3.921711408574287,2.745823399011935,10.18909090909091
L8,50-60 cm,0,54557,182369,0,0,11647,4045,2941,41,68,170,28273,0,23,14,53,7,0,77,55,17,287,8,0,0,0,0,0,262,0,0,12,8,0,0,719997,3.7848116095547,2.628807709827141,10.247386759581882
L8,60-70 cm,3606,55438,190693,0,0,11853,3969,2698,57,85,146,25969,0,23,16,49,6,0,72,50,15,285,8,0,0,0,0,0,271,0,0,11,10,0,0,709204,3.894672362181676,2.787010305418422,9.466666666666667
L8,70-80 cm,0,54597,177507,0,0,11505,3827,2844,50,67,138,26474,0,25,15,49,6,0,71,52,17,269,9,2,0,0,0,0,292,5,0,10,8,0,0,726780,3.6812086691069603,2.6053908147077234,10.572490706319703
L8,80-90 cm,4448,55104,180379,0,0,11947,4623,2810,60,61,167,28141,0,24,17,51,6,0,72,57,20,265,9,0,0,0,0,0,303,4,0,11,14,0,0,716312,3.7063513031200905,2.589197122582581,10.60377358490566
