x,y
13.0,14.0
15.0,16.0
17.0,15.0
19.0,16.0
18.0,15.0
17.0,13.0
19.0,11.0
17.0,10.0
16.0,9.0
15.0,7.0
14.0,7.0
12.0,6.0
11.0,6.0
10.0,6.0
9.0,7.0
10.0,8.0
10.0,10.0
10.0,11.0
11.0,12.0
12.0,14.0
13.0,14.0
