x,y
8.0,6.0
7.0,8.0
6.0,10.0
5.0,13.0
4.0,17.0
3.0,28.0
3.0,37.0
3.0,49.0
3.0,50.0
3.0,64.0
3.0,72.0
4.0,79.0
5.0,84.0
5.0,68.0
6.0,58.0
6.0,56.0
6.0,51.0
6.0,44.0
6.0,41.0
6.0,39.0
6.0,37.0
6.0,36.0
6.0,32.0
6.0,28.0
6.0,26.0
9.0,14.0
10.0,11.0
10.0,6.0
9.0,5.0
8.0,6.0
