Location,Sample ID,Mg Concentration,Al Concentration,Si Concentration,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,W Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,LE Concentration,RI Concentration,DI Concentration,SR Concentration
R1,0-10 cm,19048,36640,150750,62,0,13122,67888,2640,0,55,344,25101,31,27,15,58,8,0,70,656,18,217,8,0,0,0,0,0,480,7,0,14,0,6,0,687112,4.658494504227641,2.9446551250604367,12.165898617511521
R1,10-20 cm,26407,27977,111338,119,763,10993,111128,1928,45,43,254,22312,36,21,15,45,12,0,62,1254,11,133,6,0,0,0,0,0,620,6,0,10,0,16,0,688337,4.5059462253452764,2.7073644999332127,14.496240601503759
R1,20-30 cm,30159,25582,104013,90,3465,10322,115448,1784,82,0,242,21068,23,17,15,45,19,0,56,5412,7,209,5,0,0,0,0,0,0,0,0,8,0,68,0,685525,4.603592350739963,2.7324964358845145,8.535885167464114
R1,30-40 cm,33219,25146,99265,0,5541,9806,109576,1767,105,0,225,21403,0,19,13,42,22,0,57,3765,9,166,5,0,0,9,0,0,319,4,0,8,0,52,0,693180,4.469623763547497,2.6197690762216737,10.644578313253012
R1,40-50 cm,32495,24174,97189,0,7398,9547,109878,1780,125,0,294,22199,0,19,14,45,21,0,59,2182,10,127,4,0,0,14,0,0,371,6,0,9,0,29,0,695870,4.552105591478742,2.5865753795866486,14.015748031496063
R1,50-60 cm,25238,24092,95268,0,29059,9719,111057,1733,127,30,286,23557,32,24,14,48,18,0,60,1475,11,110,5,0,0,0,0,0,413,6,0,10,0,19,4,681689,4.477317835601925,2.4826908533443417,15.754545454545454
R1,60-70 cm,29066,23840,91077,0,24990,9907,121051,1627,98,32,292,23388,42,19,14,46,18,0,59,1577,9,110,4,0,0,0,0,0,379,6,0,9,0,24,7,676384,4.325598415403647,2.399623690041595,14.790909090909091
R1,70-80 cm,35557,22936,87181,0,17442,9211,129924,1563,99,0,340,20708,30,24,12,42,17,0,53,2432,8,115,5,0,0,10,0,0,273,4,0,8,0,32,11,675568,4.303758544629858,2.4686461709671157,13.591304347826087
R1,80-90 cm,32894,24114,90207,0,23257,9838,125111,1639,103,0,320,21554,35,22,12,44,14,0,56,2084,9,116,4,0,0,0,0,0,330,5,0,10,0,32,10,671929,4.2355978080179115,2.43932089790323,14.129310344827585
R1,90-100 cm,20751,25561,94719,0,27687,10104,103427,1819,91,0,253,24443,29,23,15,46,12,0,64,2607,11,151,5,0,0,11,0,0,384,0,0,10,0,30,6,691992,4.195686164007802,2.348628870089146,12.04635761589404
R2,0-10 cm,17294,37626,145863,184,0,13075,61140,2673,58,60,397,27065,39,24,15,66,8,0,76,452,18,202,9,0,0,0,11,0,350,5,0,15,0,7,0,697987,4.389356163776615,2.731333847880598,13.232673267326733
R2,10-20 cm,18118,34393,130613,148,0,12177,77934,2278,46,56,349,26863,33,27,13,57,9,0,74,611,17,161,8,0,0,0,0,0,368,4,0,13,0,8,0,700306,4.29991704024008,2.606778020976934,14.149068322981366
R2,20-30 cm,18210,33571,128105,97,0,12310,87372,2465,43,51,340,26984,42,24,15,52,9,0,72,747,16,162,6,0,0,8,0,0,230,5,0,12,0,10,0,693742,4.320614655382538,2.582456415912877,15.216049382716049
R2,30-40 cm,21961,33650,124727,140,316,12593,91037,2378,64,57,307,26771,39,25,15,56,11,0,74,823,14,152,7,0,0,0,0,0,408,6,0,12,0,12,0,689013,4.196808372839175,2.5214977668109873,15.644736842105264
