Color Name,Description,Time Stamp,L,A,B,L,C,H,X,Y,Z,R,G,B,HEX,C,M,Y,K,ACES-R,ACES-G,ACES-B,ACEScg-R,ACEScg-G,ACEScg-B,Lin.sRGB-R,Lin.sRGB-G,Lin.sRGB-B
L1 0-10 ,,,37.89,9.433333333,18.40333333,37.89,20.68,62.86666667,10.89333333,10.03,4.27,111,83,60,,45%,59%,75%,34%,0.1109,0.089266667,0.051533333,0.128733333,0.0914,0.0518,0.158366667,0.086933333,0.044866667
L1 10-20,,,37.80333333,10.75,19.48,37.80333333,22.25,61.10666667,11.02666667,9.983333333,4.063333333,112.6666667,82,58,,43%,60%,77%,34%,0.112133333,0.0877,0.049,0.131433333,0.089733333,0.0493,0.1642,0.0847,0.042166667
L1 20-30,,,36.47666667,11.09,19.66666667,36.47666667,22.58,60.57666667,10.32,9.27,3.666666667,109.6666667,79,54.33333333,,43%,61%,78%,36%,0.104866667,0.080933333,0.044266667,0.1236,0.082733333,0.044533333,0.155533333,0.077833333,0.0377
L1 30-40 ,,,38.23666667,10.93333333,19.83,38.23666667,22.64333333,61.12,11.31,10.22666667,4.126666667,114.3333333,83,58,,43%,60%,77%,34%,0.115,0.089766667,0.049866667,0.134933333,0.0918,0.050166667,0.168833333,0.086633333,0.042733333
L1 40-50,,,40.62,11.22666667,20.55,40.62,23.41666667,61.35,12.83666667,11.63,4.723333333,121,88.33333333,62.33333333,,42%,58%,76%,30%,0.130466667,0.102266667,0.057033333,0.152966667,0.1046,0.057366667,0.191,0.0988,0.048966667
L1 50-60,,,44.29,13.09,23.77,44.29,27.13666667,61.16,15.69333333,14.04333333,5.32,134,96,65.66666667,,39%,58%,77%,24%,0.1594,0.122066667,0.0642,0.1887,0.124933333,0.0646,0.238633333,0.1173,0.053866667
L1 60-70,,,43.84333333,14.95333333,25.44333333,43.84333333,29.51,59.55666667,15.68666667,13.73666667,4.85,135.6666667,93.66666667,62,,37%,59%,79%,24%,0.159133333,0.117266667,0.0585,0.1907,0.119933333,0.059,0.2457,0.111333333,0.047933333
L1 70-80,,,45.47,16.68333333,27.33666667,45.47,32.02666667,58.6,17.24333333,14.89,5.02,143,96.66666667,62.33333333,,35%,60%,80%,22%,0.174866667,0.1256,0.060533333,0.211066667,0.128266667,0.0611,0.275,0.1182,0.048866667
L1 80-90,,,41.43333333,16.63,25.59,41.43333333,30.51666667,56.98333333,14.22666667,12.14333333,4.086666667,131.6666667,86.66666667,56.33333333,,37%,63%,81%,28%,0.144233333,0.101533333,0.0493,0.174766667,0.103466667,0.0498,0.229533333,0.094766667,0.039833333
L1 90-100,,,43.13666667,18.47333333,27.08666667,43.13666667,32.78666667,55.70666667,15.77,13.25666667,4.333333333,139,89.33333333,57.33333333,,35%,63%,81%,25%,0.159866667,0.1095,0.052266667,0.1949,0.111366667,0.0528,0.258633333,0.101133333,0.041866667
L2 0-10,,,38.94,5.49,13.37666667,38.94,14.45666667,67.7,10.98666667,10.63666667,5.556666667,106.3333333,88.33333333,70,,50%,56%,69%,32%,0.112266667,0.0988,0.067166667,0.125166667,0.1009,0.067366667,0.145033333,0.0981,0.061666667
L2 10-20,,,37.05,4.85,12.72666667,37.05,13.62,69.14333333,9.83,9.576666667,5.04,100.3333333,84.33333333,67,,51%,56%,69%,35%,0.100533333,0.089266667,0.060933333,0.111666667,0.091233333,0.061066667,0.128566667,0.088933333,0.056
L2 20-30,,,39.32666667,5.16,13.12333333,39.32666667,14.10666667,68.52666667,11.15333333,10.85,5.74,106.6666667,89.33333333,71.66666667,,50%,55%,69%,31%,0.114066667,0.101133333,0.0694,0.1267,0.103333333,0.0696,0.146,0.100633333,0.0639
L2 30-40,,,46.62333333,7.43,18.23,46.62333333,19.68333333,67.81666667,16.49333333,15.76333333,7.466666667,130.3333333,105.6666667,80.33333333,,43%,52%,69%,21%,0.1682,0.1445,0.0902,0.190566667,0.1481,0.0905,0.225333333,0.143166667,0.080666667
L2 40-50,,,46.83333333,8.253333333,19.63666667,46.83333333,21.3,67.20666667,16.78,15.90666667,7.206666667,132.6666667,105.6666667,78.33333333,,42%,52%,71%,21%,0.170933333,0.144633333,0.087,0.1952,0.1484,0.087366667,0.2333,0.142933333,0.076933333
L2 50-60,,,49.70333333,10.78666667,25.25,49.70333333,27.46,66.87,19.62333333,18.19666667,7.046666667,145.6666667,110.6666667,75.66666667,,37%,52%,74%,17%,0.199366667,0.161866667,0.084966667,0.232833333,0.166666667,0.0855,0.2863,0.158866667,0.071466667
L2 60-70,,,50.86333333,10.98666667,24.13,50.86333333,26.51,65.52,20.66666667,19.16,7.816666667,148.6666667,114,80.33333333,,37%,51%,72%,15%,0.210166667,0.170933333,0.094333333,0.244366667,0.1756,0.094866667,0.299566667,0.1675,0.080833333
L2 70-80,,,49.41,10.7,22.95666667,49.41,25.32666667,65.00333333,19.36,17.95666667,7.486666667,144,110.3333333,79,,38%,52%,72%,17%,0.196966667,0.160433333,0.090366667,0.2285,0.1646,0.0908,0.2797,0.157066667,0.078
L2 80-90,,,46.26333333,10.29333333,21.49,46.26333333,23.83,64.39333333,16.7,15.47333333,6.533333333,134.3333333,102.6666667,74,,40%,54%,73%,22%,0.169933333,0.138233333,0.078833333,0.197,0.141733333,0.079266667,0.2412,0.135166667,0.068366667
L2 90-100,,,44.32,9.17,20.69333333,44.32,22.63333333,66.08333333,15.05666667,14.07666667,5.966666667,127.6666667,99,70.66666667,,42%,55%,74%,25%,0.153266667,0.126466667,0.072033333,0.177066667,0.129833333,0.072366667,0.215133333,0.1243,0.062466667
L3 0-10,,,34.79,9.063333333,17.79,34.79,19.96333333,63,9.15,8.4,3.51,102.3333333,76.33333333,54,,47%,60%,77%,39%,0.093066667,0.074633333,0.042366667,0.1084,0.076433333,0.0426,0.1337,0.072633333,0.036633333
L3 10-20,,,39.72,10.44,20.4,39.72,22.91666667,62.88333333,12.17,11.10333333,4.476666667,117.3333333,86.66666667,60.66666667,,43%,59%,77%,31%,0.1237,0.0981,0.054033333,0.1447,0.1005,0.054333333,0.179766667,0.095233333,0.0462
L3 20-30,,,36.29333333,9.986666667,19.10333333,36.29333333,21.55666667,62.39666667,10.07666667,9.176666667,3.703333333,107.6666667,79.33333333,55,,45%,60%,77%,37%,0.102433333,0.0809,0.0447,0.119966667,0.082866667,0.044966667,0.149266667,0.078433333,0.0383
L3 30-40,,,37.9,10.32666667,19.14666667,37.9,21.75,61.66333333,11.02666667,10.03666667,4.146666667,112,82.66666667,58.66666667,,44%,60%,76%,34%,0.112166667,0.0886,0.0501,0.131066667,0.090666667,0.050333333,0.163,0.0858,0.043233333
L3 40-50,,,37.68333333,10.58666667,19.41,37.68333333,22.10666667,61.39,10.93333333,9.913333333,4.04,112.3333333,82,57.66666667,,44%,60%,77%,34%,0.111166667,0.087266667,0.048766667,0.130266667,0.089233333,0.049033333,0.162533333,0.084333333,0.041933333
L3 50-60,,,38.36666667,11.15,19.94333333,38.36666667,22.85,60.79333333,11.41333333,10.3,4.146666667,115,83.33333333,58.33333333,,43%,60%,77%,34%,0.116033333,0.090233333,0.050033333,0.136333333,0.092266667,0.050366667,0.1709,0.086966667,0.042866667
L3 60-70,,,43.68333333,13.57,23.53333333,43.68333333,27.16333333,60.03,15.32666667,13.62666667,5.156666667,133.3333333,94.33333333,64.66666667,,38%,59%,77%,25%,0.155666667,0.1179,0.062266667,0.1847,0.1205,0.0627,0.234733333,0.112766667,0.052333333
L3 70-80,,,43.25,14.35666667,23.81,43.25,27.8,58.91,15.14666667,13.33333333,4.963333333,133,93,63.33333333,,38%,60%,78%,26%,0.153833333,0.1145,0.0599,0.1833,0.1169,0.0604,0.2348,0.1089,0.050133333
L3 80-90,,,43.26666667,15.55333333,24.78333333,43.26666667,29.26,57.89,15.35333333,13.34,4.786666667,135,92.33333333,61.33333333,,37%,60%,79%,25%,0.155833333,0.1133,0.057733333,0.187,0.1156,0.058233333,0.2421,0.106866667,0.047733333
L3 90-100,,,43.62666667,16.32,24.99333333,43.62666667,29.85333333,56.85333333,15.75666667,13.58666667,4.86,137,92.66666667,62.33333333,,36%,61%,78%,25%,0.159933333,0.1148,0.0587,0.192333333,0.116933333,0.0592,0.250333333,0.107733333,0.048566667
