Color Name,Description,Time Stamp,L,A,B,L,C,H,X,Y,Z,R,G,B,HEX,C,M,Y,K,ACES-R,ACES-G,ACES-B,ACEScg-R,ACEScg-G,ACEScg-B,Lin.sRGB-R,Lin.sRGB-G,Lin.sRGB-B
S1 0-10,,,39.5,11.4,20.44333333,39.5,23.40666667,60.85,12.15666667,10.96333333,4.396666667,118,85.66666667,60,,0.423333333,0.596666667,0.763333333,0.313333333,0.123533333,0.096033333,0.0531,0.1452,0.098233333,0.0534,0.182066667,0.092566667,0.045466667
S1 10-20,,,38.98,11.61,20.69333333,38.98,23.73,60.72,11.87333333,10.66666667,4.203333333,117.3333333,84.33333333,58.66666667,,0.42,0.603333333,0.773333333,0.323333333,0.120666667,0.093133333,0.050766667,0.1422,0.095233333,0.051066667,0.178966667,0.0896,0.0432
S1 20-30,,,38.52,11.7,20.71666667,38.52,23.79,60.54666667,11.58333333,10.38666667,4.06,116,83.33333333,57.66666667,,0.42,0.603333333,0.78,0.33,0.117733333,0.0905,0.049,0.138933333,0.092566667,0.049333333,0.175233333,0.086966667,0.041633333
S1 30-40,,,41.37,11.53666667,20.89333333,41.37,23.86666667,61.1,13.37666667,12.1,4.9,123.3333333,90,63.33333333,,0.413333333,0.58,0.76,0.286666667,0.136033333,0.106266667,0.059166667,0.1596,0.108666667,0.059533333,0.199566667,0.102566667,0.050766667
S1 40-50,,,42.21,12.52666667,22.40333333,42.21,25.67,60.79333333,14.10333333,12.63666667,4.89,127.3333333,91.33333333,63,,0.4,0.583333333,0.766666667,0.276666667,0.143266667,0.110033333,0.058966667,0.169266667,0.112566667,0.059366667,0.213666667,0.1057,0.049866667
S1 50-60,,,40.69333333,13.13666667,22.49666667,40.69333333,26.05,59.71,13.17,11.67666667,4.396666667,124,87.33333333,59.66666667,,0.4,0.6,0.78,0.296666667,0.1338,0.1008,0.053066667,0.158933333,0.103,0.053433333,0.202466667,0.096233333,0.044533333
S1 60-70,,,45.26,16.07333333,26.05333333,45.26,30.61,58.32,16.95666667,14.73,5.196666667,141.3333333,96.33333333,64.33333333,,0.353333333,0.593333333,0.783333333,0.223333333,0.1721,0.125033333,0.062733333,0.2067,0.127633333,0.063233333,0.267766667,0.118,0.0515
S1 70-80,,,42.6,15.6,24.34666667,42.6,28.91333333,57.35333333,14.89666667,12.90333333,4.66,133,90.33333333,61,,0.373333333,0.61,0.786666667,0.263333333,0.151166667,0.109466667,0.056266667,0.181466667,0.111633333,0.056733333,0.2353,0.103066667,0.046633333
S1 80-90,,,44.65333333,18.01,27.15333333,44.65333333,32.58,56.44,16.84333333,14.3,4.79,142.3333333,93.33333333,61,,0.343333333,0.616666667,0.8,0.226666667,0.170766667,0.1192,0.0578,0.207266667,0.121366667,0.058333333,0.273066667,0.1108,0.046666667
S1 90-100,,,41.84333333,17.62333333,25.72,41.84333333,31.17666667,55.57666667,14.69,12.41666667,4.186666667,134.3333333,87,57,,0.36,0.636666667,0.806666667,0.266666667,0.148966667,0.1031,0.050533333,0.181,0.104833333,0.051033333,0.2392,0.095466667,0.040933333
S2 0-10,,,41.66666667,12.41666667,22.17666667,41.66666667,25.41666667,60.75666667,13.73333333,12.30333333,4.766666667,126,90.33333333,62,,0.403333333,0.586666667,0.766666667,0.283333333,0.1395,0.107133333,0.0575,0.164766667,0.109633333,0.057866667,0.207966667,0.102966667,0.048666667
S2 10-20,,,37.63,12.74666667,20.83666667,37.63,24.42666667,58.56,11.21,9.893333333,3.793333333,115.3333333,80.33333333,55.33333333,,0.42,0.616666667,0.78,0.343333333,0.113833333,0.085266667,0.0458,0.135266667,0.087,0.046166667,0.172666667,0.081166667,0.0387
S2 20-30,,,36.17666667,12.11666667,19.93666667,36.17666667,23.33,58.70666667,10.28,9.103333333,3.543333333,110.6666667,77.33333333,53.33333333,,0.426666667,0.62,0.78,0.363333333,0.1044,0.078733333,0.042766667,0.123733333,0.080333333,0.043066667,0.157433333,0.0751,0.0363
S2 30-40,,,37.44,12.08333333,20.03,37.44,23.39333333,58.89333333,10.99,9.776666667,3.87,113.6666667,80.33333333,56.33333333,,0.423333333,0.613333333,0.776666667,0.343333333,0.1117,0.084866667,0.0467,0.132033333,0.0866,0.047,0.1674,0.0811,0.039866667
S2 40-50,,,39.33,12.79333333,20.99,39.33,24.58333333,58.63333333,12.25,10.86333333,4.253333333,119.6666667,84.33333333,59,,0.413333333,0.606666667,0.77,0.316666667,0.1245,0.094,0.051366667,0.147433333,0.095933333,0.0517,0.187433333,0.089666667,0.043666667
S2 50-60,,,40.57333333,14.02,23.1,40.57333333,27.02,58.74333333,13.24333333,11.61333333,4.26,125,86.66666667,58,,0.393333333,0.61,0.786666667,0.296666667,0.134466667,0.099433333,0.051433333,0.1606,0.101533333,0.051833333,0.206333333,0.094333333,0.042833333
S2 60-70,,,43.43,16.18,25.85333333,43.43,30.49666667,57.96,15.59333333,13.46,4.64,136.3333333,92,60.33333333,,0.366666667,0.61,0.8,0.246666667,0.1582,0.1136,0.056033333,0.190733333,0.1159,0.0565,0.2484,0.1068,0.045633333
S2 70-80,,,42.40333333,17.37333333,26.02,42.40333333,31.29,56.27,15.04333333,12.77,4.3,135,88.66666667,57.33333333,,0.36,0.626666667,0.803333333,0.26,0.152533333,0.1064,0.0519,0.185066667,0.1083,0.052366667,0.243866667,0.098866667,0.041966667
S2 80-90,,,41.00333333,16.71,25.02,41.00333333,30.09,56.27333333,13.94666667,11.87333333,4.06,130.6666667,85.66666667,56.33333333,,0.37,0.633333333,0.806666667,0.283333333,0.141466667,0.099233333,0.048966667,0.171333333,0.101,0.049466667,0.225233333,0.092366667,0.039866667
S2 90-100,,,41.64,17.50333333,25.71333333,41.64,31.10666667,55.76,14.53666667,12.28666667,4.13,133.3333333,86.66666667,56.33333333,,0.36,0.633333333,0.81,0.27,0.1474,0.1021,0.049833333,0.179066667,0.103833333,0.050366667,0.236566667,0.0946,0.040366667
S3 0-10,,,42.05666667,10.44666667,20.90666667,42.05666667,23.37333333,63.42666667,13.72666667,12.59333333,5.15,123.6666667,92.66666667,65.33333333,,0.42,0.57,0.75,0.28,0.139533333,0.111666667,0.062133333,0.1628,0.114466667,0.0625,0.201233333,0.108733333,0.053366667
S3 10-20,,,36.61333333,10.95,19.30666667,36.61333333,22.19666667,60.45333333,10.36666667,9.333333333,3.756666667,110,79.33333333,55.33333333,,0.436666667,0.61,0.773333333,0.36,0.1054,0.081666667,0.045333333,0.1239,0.083466667,0.045633333,0.155533333,0.0786,0.0389
S3 20 30 ,,,37.12666667,12.37,20.58,37.12666667,24.01,59.00333333,10.85,9.61,3.696666667,113.6666667,79.33333333,54.66666667,,0.423333333,0.62,0.786666667,0.35,0.110233333,0.083,0.044633333,0.130766667,0.084733333,0.044966667,0.166533333,0.0792,0.037733333
S3 30 40 ,,,38.32666667,11.97333333,20.91333333,38.32666667,24.09666667,60.21,11.50666667,10.27666667,3.97,116,82.66666667,56.66666667,,0.42,0.603333333,0.78,0.336666667,0.1169,0.089266667,0.047966667,0.138266667,0.0913,0.0483,0.174966667,0.085633333,0.0406
S3 40 50,,,38.88666667,11.51,20.56,38.88666667,23.56333333,60.75666667,11.78,10.59666667,4.193333333,116.6666667,84,58.66666667,,0.42,0.6,0.773333333,0.326666667,0.119733333,0.0926,0.050633333,0.141,0.0947,0.050933333,0.1773,0.089133333,0.043133333
S3 50 60,,,41.05666667,12.86666667,22.72666667,41.05666667,26.12,60.49333333,13.41333333,11.93666667,4.476666667,125,88.66666667,60,,0.403333333,0.596666667,0.783333333,0.29,0.136233333,0.1033,0.054066667,0.161666667,0.1057,0.054433333,0.2054,0.098933333,0.045233333
S3 60 70,,,43.23666667,15.09666667,25.38666667,43.23666667,29.53666667,59.26,15.26,13.32,4.663333333,134.3333333,92,60.66666667,,0.376666667,0.6,0.793333333,0.253333333,0.1548,0.113433333,0.056266667,0.185766667,0.1159,0.056733333,0.239966667,0.107433333,0.046033333
S3 70 80,,,41.06333333,15.08,24.46666667,41.06333333,28.73666667,58.35333333,13.73333333,11.91666667,4.17,128.3333333,86.66666667,57.33333333,,0.383333333,0.616666667,0.803333333,0.286666667,0.139333333,0.101033333,0.0503,0.167533333,0.103133333,0.050733333,0.2173,0.0953,0.0412
S3 80 90,,,43.36333333,17.11333333,26.42,43.36333333,31.47666667,57.06666667,15.72666667,13.43333333,4.523333333,138,91,59.33333333,,0.356666667,0.62,0.803333333,0.246666667,0.159466667,0.112366667,0.0546,0.1931,0.114533333,0.055133333,0.253466667,0.104966667,0.044133333
S3 90 100,,,44.16,18.25666667,27.37666667,44.16,32.90666667,56.30333333,16.50666667,13.95333333,4.593333333,141.6666667,92,59.66666667,,0.343333333,0.623333333,0.803333333,0.23,0.167333333,0.115833333,0.0554,0.203566667,0.117933333,0.056,0.269066667,0.1074,0.044466667
S4 0 10 ,,,36.69666667,10.23333333,19.33,36.69666667,21.87666667,62.10666667,10.32,9.376666667,3.773333333,109,80,56,,0.44,0.603333333,0.773333333,0.36,0.1049,0.082566667,0.045566667,0.122966667,0.084533333,0.045833333,0.153266667,0.079966667,0.039
S4 10 20,,,38.15666667,13.09666667,22.04333333,38.15666667,25.64,59.28333333,11.55666667,10.18,3.746666667,117.6666667,81.33333333,54.66666667,,0.413333333,0.62,0.79,0.333333333,0.117333333,0.087366667,0.045166667,0.139966667,0.089266667,0.045533333,0.179366667,0.0831,0.037633333
