Color Name,Description,Time Stamp,L,A,B,L,C,H,X,Y,Z,R,G,B,HEX,C,M,Y,K,ACES-R,ACES-G,ACES-B,ACEScg-R,ACEScg-G,ACEScg-B,Lin.sRGB-R,Lin.sRGB-G,Lin.sRGB-B
R2 0-10,,,53.91666667,3.41,13.25,53.91666667,13.68333333,75.58,21.85,21.91,12.75,141.3333333,126.3333333,106.3333333,,0.433333333,0.443333333,0.576666667,0.106666667,0.224,0.209066667,0.1542,0.242533333,0.213366667,0.154433333,0.267966667,0.2102,0.1447
R2 10-20,,,47.51666667,1.963333333,9.543333333,47.51666667,9.746666667,78.36666667,16.18666667,16.43333333,10.31333333,121,111.3333333,96.66666667,,0.503333333,0.476666667,0.593333333,0.18,0.166266667,0.158733333,0.1248,0.177033333,0.161533333,0.124933333,0.191,0.1599,0.118966667
R2 20-30,,,50.55666667,1.823333333,10.13,50.55666667,10.29666667,79.81666667,18.56666667,18.89333333,11.81666667,128.6666667,118.6666667,103.3333333,,0.486666667,0.453333333,0.576666667,0.14,0.190733333,0.182666667,0.142966667,0.202933333,0.186,0.1431,0.2184,0.184266667,0.136133333
R2 30-40,,,48.37666667,0.993333333,8.523333333,48.37666667,8.586666667,83.37,16.67333333,17.10666667,11.10666667,121,113.6666667,100.6666667,,0.51,0.466666667,0.576666667,0.163333333,0.171466667,0.166566667,0.1344,0.1806,0.1694,0.1345,0.191366667,0.1683,0.1289
R2 40-50,,,48.97,0.6,7.296666667,48.97,7.323333333,85.3,17.06,17.57333333,11.84666667,121.3333333,116,104.3333333,,0.516666667,0.463333333,0.556666667,0.15,0.175633333,0.172033333,0.143433333,0.1834,0.1746,0.143533333,0.192233333,0.1738,0.138566667
R2 50-60,,,52.92,0.233333333,7.29,52.92,7.296666667,88.16333333,20.28666667,20.99,14.32666667,130.6666667,125.6666667,113.6666667,,0.493333333,0.43,0.523333333,0.103333333,0.209,0.206066667,0.1734,0.217366667,0.209133333,0.173466667,0.226133333,0.2084,0.167866667
R2 60-70,,,55.01333333,-0.133333333,7.183333333,55.01333333,7.19,91.09,22.1,22.95,15.8,135.3333333,131.3333333,119.3333333,,0.48,0.413333333,0.506666667,0.083333333,0.227733333,0.225866667,0.1912,0.236033333,0.2292,0.1913,0.244,0.228733333,0.185333333
R2 70-80,,,55.33,0.046666667,7.71,55.33,7.71,89.66,22.43333333,23.25333333,15.80333333,136.6666667,132.3333333,119.3333333,,0.473333333,0.41,0.51,0.083333333,0.231033333,0.228433333,0.191266667,0.240233333,0.231966667,0.1914,0.249466667,0.2313,0.184966667
R2 80-90,,,55.53666667,0.216666667,7.733333333,55.53666667,7.736666667,88.39666667,22.73333333,23.52333333,15.99666667,137.6666667,132.6666667,119.6666667,,0.47,0.413333333,0.51,0.08,0.234166667,0.2309,0.193566667,0.243666667,0.2344,0.1937,0.253566667,0.233633333,0.187233333
R2 90-100,,,59.48,0.49,9.12,59.48,9.133333333,86.92666667,26.73666667,27.60666667,18.32333333,149,142.6666667,127,,0.426666667,0.38,0.49,0.05,0.2752,0.270133333,0.221733333,0.2879,0.274566667,0.221866667,0.301666667,0.2734,0.213466667
R3 0-10,,,48.30333333,2.57,10.97333333,48.30333333,11.28,76.82333333,16.89333333,17.04333333,10.29,124.3333333,112.6666667,96.33333333,,0.49,0.473333333,0.603333333,0.173333333,0.1734,0.1636,0.124433333,0.186166667,0.166766667,0.1246,0.203433333,0.164666667,0.1177
R3 10-20,,,56.19666667,2.46,12.25333333,56.19666667,12.5,78.68,23.81666667,24.12333333,14.58666667,145.3333333,132.6666667,113.6666667,,0.433333333,0.416666667,0.55,0.083333333,0.244433333,0.232066667,0.176366667,0.261966667,0.236666667,0.176633333,0.2848,0.234,0.166833333
R3 20-30,,,59.05666667,1.646666667,11.05666667,59.05666667,11.17666667,81.53333333,26.54,27.11,17.10666667,151,140.6666667,123,,0.416666667,0.39,0.513333333,0.053333333,0.272733333,0.262766667,0.206966667,0.289233333,0.267566667,0.2072,0.309533333,0.265366667,0.197433333
R3 30-40,,,59.75666667,1.133333333,9.94,59.75666667,10.00666667,83.45,27.14333333,27.86,18.13,151.3333333,142.6666667,126.3333333,,0.416666667,0.376666667,0.496666667,0.046666667,0.2792,0.271366667,0.2194,0.2939,0.275966667,0.219566667,0.311233333,0.274233333,0.210533333
R3 40-50,,,59.71,1.11,10.58333333,59.71,10.64333333,84,27.11,27.83333333,17.81666667,151.6666667,142.6666667,125.3333333,,0.416666667,0.38,0.5,0.05,0.2787,0.2708,0.215566667,0.2942,0.2757,0.215733333,0.312166667,0.2739,0.206166667
R3 50-60,,,61.77333333,1.273333333,10.61333333,61.77333333,10.69,83.17,29.39333333,30.13666667,19.42333333,157.3333333,148,130.3333333,,0.4,0.363333333,0.486666667,0.03,0.302233333,0.2932,0.234966667,0.3188,0.2983,0.2352,0.338533333,0.296333333,0.225066667
R3 60-70,,,62.86,1.58,12.19333333,62.86,12.3,82.63666667,30.74,31.44,19.57,161.6666667,151,130.3333333,,0.38,0.353333333,0.486666667,0.026666667,0.3158,0.304633333,0.2367,0.3354,0.310533333,0.236933333,0.359033333,0.3081,0.2251
