x,y
12.0,47.0
13.0,56.0
15.0,62.0
16.0,65.0
17.0,68.0
18.0,73.0
20.0,79.0
27.0,87.0
27.0,108.0
28.0,110.0
29.0,113.0
36.0,118.0
39.0,117.0
38.0,111.0
30.0,92.0
29.0,86.0
28.0,81.0
28.0,74.0
26.0,70.0
24.0,65.0
23.0,59.0
21.0,53.0
21.0,44.0
20.0,40.0
17.0,36.0
15.0,34.0
11.0,36.0
12.0,47.0
