x,y
6786.0,7.0
9099.0,9.0
11800.0,11.0
13095.0,12.0
15708.0,16.0
16538.0,15.0
16554.0,14.0
16263.0,13.0
15094.0,10.0
13802.0,8.0
11919.0,7.0
10563.0,6.0
4339.0,3.0
3814.0,5.0
4754.0,6.0
5642.0,7.0
6786.0,7.0
