baffle_spacing,tube_pattern,delta_temperature
6,90-Square,53.75
5,90-Square,54.06
4,90-Square,54.49
3,90-Square,55.1
2,90-Square,55.91
6,30-Triangular,54.2
5,30-Triangular,54.39
4,30-Triangular,54.56
3,30-Triangular,55.29
2,30-Triangular,55.86
6,60-Rotated Tri.,52.80
5,60-Rotated Tri.,53.13
4,60-Rotated Tri.,54.06
3,60-Rotated Tri.,54.67
2,60-Rotated Tri.,55.35
6,45-Rotated Sqr.,53.48
5,45-Rotated Sqr.,53.68
4,45-Rotated Sqr.,53.98
3,45-Rotated Sqr.,54.56
2,45-Rotated Sqr.,55.45
