baffle_spacing,tube_pattern,delta_temperature
7,90-Square,50.31
6,90-Square,51.39
5,90-Square,53.05
4,90-Square,53.2
3,90-Square,53.72
7,30-Triangular,50.84
6,30-Triangular,53.31
5,30-Triangular,53.6
4,30-Triangular,53.88
3,30-Triangular,544.36
7,60-Rotated Tri.,49.76
6,60-Rotated Tri.,50.75
5,60-Rotated Tri.,51.29
4,60-Rotated Tri.,52.02
3,60-Rotated Tri.,52.58
7,45-Rotated Sqr.,51.2
6,45-Rotated Sqr.,52.19
5,45-Rotated Sqr.,52.81
4,45-Rotated Sqr.,53.14
3,45-Rotated Sqr.,53.87
