baffle_spacing,tube_pattern,delta_temperature
5.75,90-Square,35.27
4.75,90-Square,36.07
3.75,90-Square,37.65
2.75,90-Square,39.87
1.75,90-Square,41.75
5.75,30-Triangular,36.55
4.75,30-Triangular,37.91
3.75,30-Triangular,38.88
2.75,30-Triangular,40.19
1.75,30-Triangular,41.62
5.75,60-Rotated Tri.,34.9
4.75,60-Rotated Tri.,35.85
3.75,60-Rotated Tri.,37.42
2.75,60-Rotated Tri.,39.24
1.75,60-Rotated Tri.,40.9
5.75,45-Rotated Sqr.,34.14
4.75,45-Rotated Sqr.,35.25
3.75,45-Rotated Sqr.,36.87
2.75,45-Rotated Sqr.,38.79
1.75,45-Rotated Sqr.,41.22
