country,rank,lumpiness,entropy,ACF1,lshift,vchange,cpoints,fspots,trend,linearity,curvature,spikiness,KLscore,change.idx
Afghanistan,169,0.606816704583974,0.790504660754165,0.621805801941196,1.19420157345649,0.975867688162078,4,6,0.765922613665714,-2.80469026673789,-1.02858132893077,0.0003430299119379,0.403461716375164,14
Angola,49,0.196326498942425,0.635259797908271,0.766810843435356,1.9179572103745,1.9113465314206,1,19,0.861864888368874,4.20623515208936,1.23982508688904,0.000317842322325,0.334904431055875,12
Albania,126,0.525062029470193,0.720658137998388,0.751576289729151,1.4369113412382,0.744669515560028,3,16,0.914173444368445,-3.41599037950803,-1.45239540489752,3.8166764683037e-05,0.551998845532141,12
Arab World,119,0.0862578422625519,0.44450235866793,0.896829407621026,1.61135206328254,0.785401298786522,2,6,0.962961027509219,-3.78962255166172,1.25997026013985,3.11073687986909e-06,1.80263503599696,13
United Arab Emirates,25,2.26466557626988,0.926452511254224,0.380651202629343,1.08364406299809,0.181344596637396,1,6,0.845842037233098,1.99070880849808,-0.782170845314333,0.0003000984613621,0.862651048832629,18
Argentina,230,0.568241488929984,0.564730235246032,0.823574434740831,1.39016467794618,0.776978781678078,2,7,0.891052426397096,-2.22185840689159,-1.33871478468181,5.73097686387663e-05,1.67873004706936,14
Armenia,153,0.0168210907457347,0.716731004112082,0.843088618477502,1.27308827508475,0.645574849414119,3,6,0.971441395865561,4.99917493401115,-0.57998022443722,2.39010110274679e-06,1.23282039680115,18
Australia,58,0.011756931137201,0.534952105913192,0.894872218870599,1.09860832818817,0.146184660968427,1,5,0.951370581876836,-4.07566535177411,3.08894332957051,4.26833659147461e-06,5.24465102920075,12
Austria,9,0.0702906995949026,0.886772008910595,0.508937832373776,0.926099311304174,0.434735739080627,9,2,0.706993400215696,3.09432187040706,-1.45076925171297,0.0001397502409128,0.337273124726159,12
Azerbaijan,194,0.300108086610885,0.553907462663318,0.852989419272761,1.2116159875925,0.308886053252893,2,8,0.990148563439539,-1.1472377141635,-3.07537132689474,4.46065463954834e-07,1.10245588661095,15
Burundi,92,0.465631325764618,0.811184830723386,0.569846133323651,0.70611396373502,0.17611378002766,1,14,0.940169939628055,-4.092998643423,-2.59560297818317,4.03359973753852e-05,0.218382422123835,12
Belgium,8,0.372102301361085,0.649950411013651,0.685855606391518,1.59068697159346,1.40269246433369,10,3,0.808444576328913,-2.20181556247412,-1.29385074487295,3.07968685365161e-05,0.433047633370943,12
Benin,95,0.29307903656606,0.451681987037567,0.887422626535558,2.21066507146739,1.47864700994109,1,9,0.949371435333782,3.47683312581834,2.79184304840098,2.75337008518226e-05,0.610818482260206,12
Burkina Faso,69,0.0275762962386907,0.423611761438305,0.936855067324225,1.14034134089323,0.316803033808237,1,13,0.986031525731332,4.70702435915121,0.211243310637184,9.87492317066031e-07,0.735541265592206,18
Bangladesh,184,0.0259382819068006,0.716505050102925,0.755144720518999,1.46597957303007,0.381527109073383,5,6,0.868031488202567,4.6605110119475,-1.35211045127234,6.97618485120733e-05,1.65955717103008,12
Bulgaria,226,0.0639785106230828,0.615743613339085,0.856864193432665,1.19700622635078,0.416081721827913,3,5,0.951662465398615,-3.7793995476391,-1.18201787979871,8.47190746170812e-06,1.02651672119804,12
Bahrain,6,2.35906046011352,0.979702320649662,0.246566972241074,0.327962496019151,0.0207294720084843,1,16,0.845095079309247,3.30922247121222,1.99116256287266,0.0003294594238226,0.946109103185227,12
"Bahamas, The",219,0.019140111559627,0.706197408508055,0.686039773125043,1.82220079454315,1.60262227773173,4,4,0.8253899376295,1.04817563007965,1.92617594629588,4.91487066531965e-05,0.519646645489739,18
Bosnia and Herzegovina,137,0.217482570621097,0.488236909523495,0.817361189750035,1.25677108393211,0.84978021013972,2,6,0.947049579595109,0.568959520920823,-4.78200702905976,1.11049582443067e-05,1.47259412139417,12
Belarus,88,2.15856065174775,0.635921431821224,0.806007105457652,0.871422439517279,0.309369557157243,2,12,0.922913110204231,-2.66966020512032,-1.26585363438094,9.36794936897832e-05,3.96188728058537,12
Belize,197,0.142052110337505,0.527894825591769,0.889187898795276,0.911636621551326,0.545599232756577,4,8,0.956813970242171,-4.18347268088726,-1.14433758188646,7.76429996622021e-06,2.70256080662691,15
Bolivia,21,0.79675997672296,0.886426534277169,0.404348969372763,1.1762124312376,0.747525676363342,1,15,0.784110202711345,1.75581717440153,2.78448492099084,0.0003023943734005,0.898316635113225,12
Brazil,218,0.0795634202857044,0.637811164357131,0.773574289027027,1.57628026563293,1.37854747640471,5,5,0.935669579789984,3.13956286910309,0.767683909120089,9.23241496088291e-06,0.273125395028709,15
Barbados,33,0.0475104433557858,0.593486740768367,0.869744509698674,1.63248303597484,0.654143425530364,1,5,0.980568524062215,-3.51766848775946,3.42297479136593,1.41652512467563e-06,21.1834276561581,12
Brunei Darussalam,73,0.0360638719046827,0.657311168682005,0.835435258993141,0.788828699915668,0.318975650424808,3,6,0.876288046758213,5.00171429540695,0.385156366954148,0.0001209565534227,1.18139991907649,12
Bhutan,206,0.102751910313867,0.616155655375302,0.7833932965795,1.71354012058978,0.633685484425782,5,9,0.920173935038491,3.58940855917086,-1.84957977549754,3.75945399019089e-05,0.913969627104354,12
Botswana,185,0.927080925507093,0.70536382035664,0.677880207408619,1.19890085467715,0.584050813521129,4,7,0.894105250308456,-1.48440842132618,-1.56106070945053,5.73084355106599e-05,2.17439023129356,15
Central African Republic,205,0.323192154406023,0.671781472651849,0.78250529077532,1.14357238785719,0.861391007648181,4,7,0.855947401790681,-3.34754781667674,-1.57504455011393,8.28565532622384e-05,0.340929068148827,14
Canada,123,0.0684061449637211,0.650117510705228,0.761102338678317,1.27714243342799,0.64533806014388,2,5,0.841323689382031,-3.71784991573465,2.58407476508873,8.32244322740566e-05,1.87070122319159,12
Central Europe and the Baltics,86,0.166367963583013,0.537692455380314,0.857068321492833,1.37344246723326,0.950044494039633,3,4,0.96874496832191,-3.59971385620451,-2.70606974888973,2.94530832826999e-06,0.670384775646332,15
Switzerland,122,0.134502370001162,0.791337462128913,0.674233937638499,0.808143220131269,0.584736767807402,7,6,0.857375222396762,4.10356730097719,-0.0603555859125443,3.11043841742005e-05,2.08225453074108,18
Channel Islands,43,0.159139622953,0.809814330678853,0.718529184143004,0.700610440604503,0.107447677680592,1,8,0.975531327594946,4.90416217817976,1.17207050749198,6.45637520443542e-06,0.974353738644048,12
Chile,130,0.113194996958655,0.764384947402335,0.675663267863196,1.56663802417233,0.596549926790281,3,4,0.83459908267574,1.24300940599439,-2.96408090159966,9.61708300187422e-05,0.259031691112901,18
China,152,0.0114342779932644,0.620547115266426,0.867891691209376,1.46320307314728,0.514802537224565,1,9,0.976903536177633,4.74100654883392,-2.07277845735493,1.26060137035182e-06,5.31184703948566,12
Cote d'Ivoire,178,0.362080541026396,0.682114242590145,0.813265387905528,1.84859856933184,1.23113048934702,3,5,0.926404570528802,-2.0175309841695,-1.7076925538704,3.80360004931993e-05,0.358090457547663,12
Cameroon,81,0.0159098384609903,0.445771103697961,0.946927256744174,1.4480477395534,0.476826160003265,1,10,0.99726634613926,-4.90258669644657,0.875350404707125,2.41661576402269e-08,1.75492502174101,12
"Congo, Dem. Rep.",50,0.0080512256258317,0.486234015784763,0.916685779041661,1.54965796368979,0.524720632480698,1,15,0.994630799097637,4.76104577972759,1.14170093029451,2.14931144321147e-07,1.14259401715506,18
"Congo, Rep.",57,0.0188430618769752,0.433970873092388,0.947476876223897,1.5682201422672,0.413889332106603,1,15,0.995175589341729,-4.8459334165054,-1.47094058341743,1.59275150086037e-07,0.356498069521801,18
Colombia,224,0.138846354665134,0.669680146266304,0.786600696873401,1.27747054950822,0.595482898898685,3,5,0.908522121189393,-1.06920683675947,-2.06375764293245,3.19088661656089e-05,0.985122913641746,14
Comoros,39,0.0099483927938844,0.484851090326452,0.919854714649455,1.32480072022521,0.280993159526848,1,15,0.996755013871288,4.92659729656433,1.43390225979725,6.99538429880322e-08,0.672492507370002,18
Cabo Verde,37,0.0670724981848177,0.726924060523497,0.728517918435647,1.33990802839179,0.41930499806039,1,13,0.957729942862224,3.94757035285254,2.94934507118065,2.10850737566694e-05,0.285255496481716,12
Costa Rica,59,0.381420354162477,0.832140024483417,0.620197480125828,1.07606194958778,0.618450336376543,1,5,0.946058976978535,4.3102197890771,1.6160635710741,5.30858276928432e-06,0.784824577560193,18
Caribbean small states,217,0.0264847002937948,0.668322091894664,0.868613893331441,1.50550743330755,0.34423648760259,3,4,0.949479844981626,-4.05375417041016,1.6081343866968,1.12876618246149e-05,1.42193506844389,12
Cuba,89,0.0178552140388564,0.49992269470862,0.923845252662482,1.58235026756376,0.46403578083792,1,6,0.989157380941618,-4.40565089944603,2.32937060205679,3.50777602324752e-07,3.12929367658572,12
